This tab has one table with the estimated resident population for State Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z451.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, State Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
10033,Hawkesbury,68058,68110,68075,67548,67198,67292,67779,68650,69387,69874,70347,70740,71177,71421,71878,72416,72887,73487,76434,79548,83226,87872,92352,97243
10034,Heathcote,74014,74261,74184,73753,73496,73364,73875,74941,75939,76434,76643,77070,77559,78118,78486,78905,79344,79649,80011,79921,79771,79884,80501,81165
10035,Heffron,51147,53427,55545,56975,58598,60026,62210,64184,66450,68700,70170,72514,75525,79577,84820,90049,94246,97063,99875,101941,100299,103109,107356,109095
10036,Holsworthy,73321,73629,73351,73417,73462,73682,74375,76237,77711,78602,79173,79972,80972,81994,83232,84774,86085,87288,88187,88927,88549,88727,90141,91400
10037,Hornsby,82022,81744,81675,81597,81571,81586,82464,83557,84558,85290,85718,85948,86225,86711,87019,87422,88510,89445,90220,90615,89501,89272,90441,91182
10038,Keira,72881,73336,73543,73692,73772,73552,73917,74489,75091,75829,76091,76361,76892,77015,77423,77862,78505,78767,79028,79162,79193,79921,80797,81505
10039,Kellyville,37190,42451,46667,49494,52142,54568,56183,57904,59346,60065,61005,62501,64255,66534,69272,72335,76370,80464,84366,88048,91343,94156,97482,99777
10040,Kiama,65574,66194,66531,66508,66552,66702,67142,67787,68779,69661,70350,70854,71448,72112,72768,73414,74065,74803,75751,77360,79045,80679,81814,83242
10041,Kogarah,82261,83252,83928,84908,86195,87123,88708,90854,92944,94067,94824,96847,98694,100460,102093,103784,104722,104914,104826,104146,101300,101477,105080,107650
10042,Lake Macquarie,63824,64425,64790,64920,64900,64735,65029,65690,66392,66896,67243,67394,67745,68186,68568,68809,70095,71394,72804,74216,75642,77044,78265,79540
10043,Lane Cove,71407,71334,71403,71469,71459,71571,72109,72606,73368,74001,74520,75434,76436,77796,79551,81388,82920,84152,86128,86929,86024,86917,88876,90362
10044,Leppington,49148,51389,52718,53583,54507,55549,56717,57912,59292,60352,61712,63050,64594,66473,68492,71457,75189,78380,81730,85629,89992,94845,100350,106076
10045,Lismore,75437,75348,75205,75307,75604,76110,76712,77029,77480,77988,78366,78387,78252,78117,77990,78071,78324,78635,78851,79080,79210,79395,79261,79501
10046,Liverpool,77830,78244,78380,78619,78885,79226,80364,81863,83256,84188,85275,86394,87792,89110,91065,92866,94143,95084,95563,95412,94270,94332,95963,97440
10047,Londonderry,47792,48005,47987,47858,48111,48233,49015,50064,51442,52344,53749,55833,58174,60861,64888,68814,73627,78091,83420,91399,97487,102944,108674,114883
10048,Macquarie Fields,65221,65747,65931,65692,65767,65476,65838,66381,67512,67767,67963,69478,71610,73625,75854,78326,81395,84806,88168,91068,93755,96704,100002,102373
10049,Maitland,50346,51796,53161,54329,55682,57086,58589,59544,60339,61386,62653,64526,66207,67794,69280,70801,72614,74643,76460,78852,81374,84193,86401,88368
10050,Manly,76669,77293,77325,77486,77850,78669,80775,81828,83499,85317,86729,87590,88597,89487,90501,91560,92181,92577,92814,92541,90761,90387,92703,94246
10051,Maroubra,72995,73019,72978,73061,73474,73696,74552,76042,77951,79311,80404,81414,82589,83874,85250,86816,87685,88465,89304,89832,88992,90078,92738,94419
10052,Miranda,74173,74225,74314,74090,74180,74207,74913,76278,77244,77671,77873,78459,78930,79368,79721,79934,80246,80592,81062,82125,83018,83381,84549,85886
10053,Monaro,63707,65273,66833,67579,68739,70045,71102,72305,73438,74570,75232,75811,76347,76983,77591,78348,79792,81184,82615,83943,85071,86063,87484,89173
10054,Mount Druitt,88942,88702,88600,89546,90272,91130,92295,94014,95181,96431,97274,98004,98972,99568,100014,100563,101658,102294,102622,102152,100972,100352,101536,102595
10055,Murray,86589,86198,85522,84867,84478,84426,84306,84229,84392,84297,84033,84493,84960,85431,85824,86203,86650,87079,87372,87594,87532,87640,88056,88744
10056,Myall Lakes,66451,67089,67750,68374,68730,68795,69465,69861,70532,71265,71775,72022,72388,72726,73090,73619,74453,75173,75792,76372,76733,77258,77974,78516
10057,Newcastle,62402,63140,63979,64711,65274,65710,66514,67416,67925,68440,69337,69646,70095,70836,71265,71778,72705,73603,74501,75560,76377,77761,79244,80691
10058,Newtown,65278,65742,66351,67563,68912,70416,72271,73658,74453,75439,76502,78552,80922,83608,86741,89432,91030,91844,91186,89722,84941,85838,90552,92133
10059,North Shore,69621,70036,70613,71040,71250,71838,72828,74153,75219,76363,77219,78023,78933,80009,81086,82030,82600,82758,82507,81878,79459,79187,82590,83700
10060,Northern Tablelands,84616,84230,83468,82672,82332,82275,82129,82456,83065,83513,83689,83894,84065,84170,84209,84289,84329,84267,84170,83710,83064,83078,83490,83542
10061,Oatley,74400,74171,74102,74221,74523,74799,75630,76689,77939,79151,80112,80954,82082,83080,84068,85010,86335,87084,87228,86692,85239,85111,86905,88116
10062,Orange,74629,74588,74373,73793,73575,73505,73969,74600,75211,76169,77180,77668,78270,78814,79052,79528,80101,80751,81252,81345,81353,81484,81751,82172
10063,Oxley,69788,70132,70343,70892,71593,71853,72510,73211,74040,74624,75076,75478,75842,76106,76307,76631,77425,78225,79025,79780,80379,81263,81829,82451
10064,Parramatta,62072,64272,66009,67891,69865,72030,75154,78096,81386,83525,85701,88732,92965,97137,101083,105283,111056,115318,118687,120742,120384,121546,126612,129953
10065,Penrith,77367,77012,76462,75621,75353,75209,75720,76685,77406,77804,78391,78832,79453,80307,81091,82005,83155,83971,84800,85549,86185,86933,88138,89149
10066,Pittwater,66387,66523,66349,66173,66593,66968,67447,68027,69655,70694,71801,72446,73203,73842,74625,75427,75852,76029,76186,76008,75399,74798,75598,75973
10067,Port Macquarie,57064,58569,59855,60885,61509,61697,62658,64004,64563,65693,66428,67328,68056,69036,69958,70922,72089,73298,74489,75694,76760,78198,79220,80508
10068,Port Stephens,61063,62107,63356,64108,64804,64849,66176,67121,68163,69314,70065,70723,71267,71791,72300,72981,73662,74284,74950,75714,76435,77539,78462,79391
10069,Prospect,76532,75921,75341,75131,75620,76418,77713,79543,80908,82258,83681,84893,86351,87590,88642,89953,92185,93791,95192,95719,95055,94673,96572,97678
10070,Riverstone,35265,37777,39860,41502,43075,45119,48098,50679,53381,56646,59077,61968,65647,68773,71802,75006,80269,85672,92077,98948,105589,112338,118931,124211
10071,Rockdale,68633,68733,69775,70387,70883,71670,73264,75312,76637,77538,77723,79769,81887,84027,86429,88960,90926,91692,92409,92986,92368,92805,96208,98704
10072,Ryde,78085,78381,78641,78842,79288,79936,81855,83659,84716,86229,87976,90723,93350,95932,98738,101675,103855,105519,107270,107468,105612,106716,110893,114153
10073,Shellharbour,64778,65538,66348,66953,67294,67596,68148,69247,70115,71019,71680,72272,73224,74475,75616,76810,77969,78940,79876,80603,81056,81861,82960,84123
10074,South Coast,58326,59432,60264,60800,61672,62058,63030,63568,64460,65398,66138,66907,67607,68549,69527,70593,71678,72998,74190,75533,76693,77563,77714,78463
10075,Strathfield,78723,79388,80493,81889,83203,84793,87202,89059,91091,91773,92352,94543,96961,99653,101553,103775,105676,106986,108542,109024,107451,108021,111953,114602
10076,Summer Hill,77792,77255,76708,76316,76306,76653,77458,78292,79398,80135,80973,81527,82320,83065,83776,84687,84966,84874,84597,83685,81138,80831,82904,84150
10077,Swansea,69107,69606,69983,70077,70317,70605,71147,72090,73031,73701,74325,74637,75093,75528,75952,76431,76801,77224,77471,77678,77788,78083,78589,79039
10078,Sydney,75555,79786,84658,88643,91239,93939,95998,97355,99203,100442,101715,104027,106556,109117,111348,113736,115275,114203,113163,110603,102410,102879,108598,111663
10079,Tamworth,73974,74073,74039,73941,73933,74475,75200,75793,76621,77628,78479,78999,79533,80171,80716,81328,82249,83116,83884,84131,84366,85309,86160,86940
10080,Terrigal,68868,69520,69740,69731,69732,69908,70502,71365,72271,72814,72954,73470,73998,74445,74975,75581,76245,76905,77548,77890,77819,77557,78249,78712
10081,The Entrance,72719,72830,72572,72401,72364,72381,73376,74880,75994,76952,77236,77464,77683,77954,78286,78587,79108,79463,79773,79899,79740,79450,79694,80153
10082,Tweed,60255,61958,64043,65643,66419,67432,68686,70326,71922,72926,73445,74154,75053,75910,76924,78200,78847,79432,80012,80698,81025,81666,82523,83277
10083,Upper Hunter,72839,73486,73922,74111,74883,75711,76243,77077,78197,79257,80291,80932,81431,81839,82057,82328,82923,83492,84221,84857,85250,86343,87289,87680
10084,Vaucluse,79560,79776,79941,79884,80132,80986,81832,82830,84076,84912,85745,86399,87201,88013,88603,89313,89492,89203,88650,87322,84084,83845,85972,87186
10085,Wagga Wagga,71372,71643,71820,71820,72209,72871,73829,74622,75336,75886,76156,76419,76723,77080,77597,78209,79198,80109,81011,81980,82626,83131,83528,83874
10086,Wahroonga,74627,76397,76931,77139,77158,77300,78500,80131,81695,82823,83730,84327,85051,85857,86507,87299,88642,89811,90862,91380,90529,90510,92065,92914
10087,Wakehurst,73048,72896,73316,73602,74191,74859,75850,76792,77894,78638,79464,80314,81405,82568,83610,84540,85471,85793,85890,85622,84584,84447,85739,86550
10088,Wallsend,70016,70501,70957,71324,71705,72096,72804,73858,74571,75456,76562,77352,78122,78894,79707,80486,81710,82976,84066,84993,85605,86567,87753,88985
10089,Willoughby,78246,79661,80479,81780,83145,84145,85662,86467,88170,89235,90428,91610,92853,94240,96196,98325,99424,99337,99295,98864,95892,95333,98151,100067
10090,Winston Hills,78152,78815,79288,80300,81292,82408,83633,85130,86882,89054,90082,91004,92066,93337,94285,95252,96407,96967,97373,96911,95329,95167,97063,97946
10091,Wollondilly,60839,61697,62613,63225,63814,64418,65110,65900,66781,67419,68147,69006,69966,71051,72337,73884,75238,76626,77876,79102,80035,81870,83715,85899
10092,Wollongong,69428,69924,69986,69792,69724,69973,71174,72665,73879,75121,76142,76594,77272,78185,79012,80025,80325,80689,80774,80489,79748,80373,81383,82706
10093,Wyong,56035,57721,59332,60223,61156,62104,63275,65023,66395,67562,68636,69857,71060,72329,73531,74941,76297,77389,78309,78878,79469,80275,81208,82103
,Total New South Wales,6530349,6580807,6620715,6650735,6693206,6742690,6834156,6943461,7053755,7144292,7218529,7304244,7404032,7508353,7616168,7732858,7855316,7954476,8046748,8110610,8097062,8166704,8341199,8479314
20106,Albert Park (Southern Metropolitan),44694,47489,50116,52226,53772,55476,57066,58736,60091,60643,60983,63929,67365,70109,72488,75031,76323,78650,80047,80220,75259,77209,81946,84322
20206,Ashwood (Southern Metropolitan),68892,69249,69415,69892,70691,71551,72678,73957,75405,76150,76379,77460,78385,79318,80197,81372,82576,83269,83937,84053,81471,82057,84690,86692
20301,Bass (Eastern Victoria),39974,40494,41099,41595,42374,42845,43390,44174,45076,46209,47229,48033,48838,49675,50510,51736,53518,55718,58739,62523,66128,68910,71665,75153
20402,Bayswater (North-Eastern Metropolitan),67727,67475,67287,67051,66793,67055,67579,67875,68533,68855,69177,69572,70100,70767,71507,72410,73016,73640,74245,74612,73641,73290,74559,75438
20508,Bellarine (Western Victoria),42932,44231,44964,45444,45933,46147,46869,47720,48802,49925,51254,52158,53450,55061,56960,59162,61097,62964,65021,67177,69260,71077,72572,73896
20604,Benambra (Northern Victoria),52673,53276,53849,54446,54617,54727,54940,55313,55922,56572,57249,58152,59141,60083,61150,62311,63291,64254,65102,65951,66644,67341,68177,68861
20704,Bendigo East (Northern Victoria),49104,49833,50774,51638,52363,53335,54420,55314,56321,57166,57966,59323,60836,62380,63829,65541,66910,68227,69680,70791,71929,72944,74003,75334
20804,Bendigo West (Northern Victoria),52457,52864,53389,53529,53584,53951,54416,54915,55471,56185,56913,57581,58313,58978,59721,60612,61338,62040,62707,63439,63639,64090,64617,64986
20906,Bentleigh (Southern Metropolitan),60902,61181,61507,62109,62669,63454,64411,65516,66932,67489,67818,68892,69991,71225,72331,73676,74828,76046,77364,78245,77390,77930,80055,81913
21005,Berwick (South-Eastern Metropolitan),28300,30976,33813,36380,39068,41301,43588,46066,48636,50038,50894,51488,51953,53112,55367,58039,61271,65826,72126,77959,82380,87269,92406,98581
21102,Box Hill (North-Eastern Metropolitan),69664,69806,70017,70302,70926,71804,73006,74300,75634,76213,76604,77636,78878,80163,81585,83246,85003,86561,87852,88833,85853,86907,90880,93868
21206,Brighton (Southern Metropolitan),58962,59467,59943,60382,60937,61758,62787,63791,64866,65409,65806,66283,67014,67895,68668,69629,69882,70040,70022,69511,66843,66702,68478,70033
21303,Broadmeadows (Northern Metropolitan),70161,69653,69164,68987,68883,69155,69777,70758,72226,73290,74180,75131,76260,77849,79329,81051,82477,83638,84544,84482,81468,81102,83543,85316
21403,Brunswick (Northern Metropolitan),55993,56310,56484,56940,57622,58298,59346,60620,61821,62694,63365,64483,66045,67652,69243,70932,71759,72528,73159,73683,69782,70473,73774,76702
21502,Bulleen (North-Eastern Metropolitan),67398,67529,67403,67282,67180,67250,67724,68123,68590,68807,68975,69435,70114,70765,71722,72955,73975,74625,75691,76768,75577,76299,78252,79576
21602,Bundoora (North-Eastern Metropolitan),60728,61599,62575,62838,63832,64966,66374,67543,68702,69202,69523,70289,71064,71879,72694,73785,74066,74111,73525,72789,70029,70104,72070,73724
21705,Carrum (South-Eastern Metropolitan),44722,46086,47337,48681,49982,51683,53718,56035,59294,62069,63981,65848,67975,69603,70922,72265,73419,74429,74887,75366,75044,75722,76953,77969
21806,Caulfield (Southern Metropolitan),61538,62075,62333,62899,63582,64641,65450,66538,67627,68228,68575,69334,70216,71334,72266,73522,74421,75014,75401,75138,72084,72622,75222,77196
21905,Clarinda (South-Eastern Metropolitan),69221,69005,68995,69221,69292,69849,70440,71360,72473,73003,73025,73656,74214,74666,75171,75962,76329,76601,77165,76923,74282,74204,76230,77393
22005,Cranbourne (South-Eastern Metropolitan),20505,21837,23693,25533,27206,28742,30580,32765,35377,37623,40211,43861,48128,53099,59241,66102,71622,76557,81312,85249,88507,92248,95813,98976
22102,Croydon (North-Eastern Metropolitan),62952,63222,63440,63714,64084,64485,65190,66213,67457,67918,68358,69246,70345,71489,72594,73955,74850,75562,76155,76341,75082,74992,76402,77854
22205,Dandenong (South-Eastern Metropolitan),77369,77088,76770,76687,76753,77147,78504,79981,81314,82414,83617,85287,87232,89146,90962,92777,93833,94553,94948,94204,90692,90042,92453,94430
22304,Eildon (Northern Victoria),57668,58085,58371,58639,59139,59602,59885,60377,60367,60675,60848,61411,61954,62422,62952,63676,64464,65274,65839,66290,66544,66912,67253,67692
22402,Eltham (North-Eastern Metropolitan),65807,65628,65326,65158,65287,65369,65602,65976,66460,66457,66196,66227,66409,66612,67012,67661,67847,67997,68003,67903,66942,66454,66891,67555
22503,Essendon (Northern Metropolitan),58405,58536,58590,58890,59421,60070,61052,62238,63519,64255,64957,65922,67049,68373,69844,71420,72295,72947,73251,73625,70806,70913,73342,75511
22608,Eureka (Western Victoria),52354,52583,53151,53545,54408,54980,55839,56850,58130,59612,60967,62264,63886,65139,66288,67924,69680,71311,73022,74515,75755,76832,77800,79109
22704,Euroa (Northern Victoria),56360,56487,56963,57191,57258,57310,57799,58079,58402,58927,59264,59928,60538,61213,61806,62600,63222,63991,64821,65587,66204,66825,67517,68520
22801,Evelyn (Eastern Victoria),60192,60497,60645,60660,60900,61406,61994,62870,63852,64242,64458,64916,65416,66034,67090,68191,69459,69981,70487,70540,69823,70200,70917,71805
22907,Footscray (Western Metropolitan),52349,52920,53657,54194,54950,56068,57681,59550,61208,62714,64024,65779,68116,70519,72612,74529,75436,75990,76465,76326,73593,74805,78532,80727
23005,Frankston (South-Eastern Metropolitan),65794,65264,64877,64640,64417,64465,64919,65427,65945,66328,66592,66930,67411,67893,68420,69113,69541,69897,70152,70145,69201,69120,69868,70834
23108,Geelong (Western Victoria),60680,60992,61405,61655,61870,62064,62603,63031,63546,64154,64785,65447,66194,66793,67432,68228,69329,70185,71280,71865,71879,71981,72477,73073
23201,Gippsland East (Eastern Victoria),52275,52504,52689,53160,53557,54017,54510,55058,55651,56249,56783,57391,57912,58444,59095,59925,60740,61535,62292,62897,63600,64315,64781,65288
23301,Gippsland South (Eastern Victoria),57818,57670,57638,57602,57751,57910,58148,58533,59093,59543,60013,60760,61356,61808,62276,62963,63369,63886,64482,65093,65528,65993,66212,66673
23402,Glen Waverley (North-Eastern Metropolitan),77895,77791,77805,77911,78111,78798,79116,79508,80389,80591,80515,80911,81453,81960,82429,83157,83965,84684,85214,85510,83179,83297,85658,87050
23503,Greenvale (Northern Metropolitan),48245,50468,52611,54864,56888,58584,60113,61641,63107,64076,65003,65859,66933,68235,69899,72279,74216,76271,77698,78816,78126,79135,81282,82852
23601,Hastings (Eastern Victoria),52348,53149,53915,54725,55590,56350,57432,58877,60161,60873,61063,61828,62617,63697,64612,65439,66071,66614,67008,67402,67370,67240,67517,67844
23706,Hawthorn (Southern Metropolitan),63935,64347,64678,65069,65427,65800,66716,67488,68517,69144,69663,70420,71634,72981,74454,76100,76752,77087,77109,76080,71557,71614,74266,75867
23802,Ivanhoe (North-Eastern Metropolitan),58811,58660,58636,58457,58838,59469,60376,61114,62207,62582,62863,63380,63950,64506,65061,65778,66802,67650,68606,68547,66864,67223,68754,70259
23903,Kalkallo (Northern Metropolitan),15039,16217,17671,18952,20287,21831,23914,26140,28795,31396,34055,38243,43020,47806,52577,58400,65279,72610,81442,89747,96795,103606,110171,117096
24006,Kew (Southern Metropolitan),70839,70906,70874,70949,71205,71601,72086,73027,73597,73876,74128,74594,75245,75992,76519,77196,77681,77941,78038,77356,74383,74372,76200,77489
24107,Kororoit (Western Metropolitan),35528,37441,39621,41906,44074,46378,49633,53318,58152,62817,66575,69146,71626,73524,74941,76761,79657,82952,85412,87081,88272,92071,96343,100290
24208,Lara (Western Victoria),59007,59666,59946,59992,59963,60172,60591,61187,61749,62402,63017,63730,64499,65117,65876,67136,68241,69278,70265,70672,70530,70887,71927,72984
24307,Laverton (Western Metropolitan),42377,42684,43026,43452,44246,45265,47048,49508,52633,55647,58856,62578,66040,70337,75285,80635,85237,89101,93003,95946,95991,98689,102637,105732
24408,Lowan (Western Victoria),70164,69964,69635,69255,69060,68883,68859,68808,68917,68671,68203,67990,67748,67469,67166,67080,67159,67316,67560,67985,67984,67662,67643,67574
24504,Macedon (Northern Victoria),47579,47856,48151,48749,49152,49594,50209,51168,52462,53261,54074,55116,56006,56979,57981,59194,60284,61358,62404,63351,64230,64984,65842,66928
24606,Malvern (Southern Metropolitan),59914,60205,60588,61113,61425,62056,62735,63682,64311,64467,64337,64893,65448,66031,66607,67378,67613,68224,68651,68255,65200,65477,67657,68919
24703,Melbourne (Northern Metropolitan),45675,49437,53330,57334,60778,63612,67369,70944,74637,77587,80120,85850,94520,102188,109651,116997,125209,131049,135485,136667,121160,126986,142038,152329
24808,Melton (Western Victoria),35642,36056,36636,37179,38134,39571,41189,43023,45529,48107,50430,53335,55982,58393,60990,64021,67319,71107,75643,80180,83912,88351,93223,98527
24904,Mildura (Northern Victoria),63606,64130,64169,64160,64390,64873,64952,65066,65162,65210,65129,65655,66204,66588,66854,67237,68040,68866,69532,70147,69694,69895,70162,70115
25002,Mill Park (North-Eastern Metropolitan),45446,47228,49213,50663,52328,54102,55782,57847,59694,61301,62191,63507,64495,65618,66956,68848,69826,70537,70884,71006,69185,68879,69910,71293
25101,Monbulk (Eastern Victoria),65843,65812,65666,65415,65147,65093,65459,65941,66486,66626,66619,66683,66751,66811,66946,67255,67505,67571,67588,67321,66524,66033,66351,66668
25205,Mordialloc (South-Eastern Metropolitan),46501,47549,48421,49195,50419,51869,53843,55895,57929,58403,59249,61193,63036,64879,66838,69203,70622,72108,73431,73964,73386,73675,75193,76764
25301,Mornington (Eastern Victoria),49495,50957,52060,53043,54018,54841,56005,57154,58359,59341,59768,60808,61673,62562,63250,64194,64986,65719,66311,66425,65784,65416,65724,66030
25401,Morwell (Eastern Victoria),65023,65168,65266,65348,65518,66047,66601,67283,67857,68665,69409,69553,69659,69628,69716,69986,70431,70883,71410,71975,72323,72865,73274,73874
25505,Mulgrave (South-Eastern Metropolitan),69322,68817,68426,68319,68353,68904,69707,70655,71886,72594,73213,74123,75126,76336,77805,79072,79880,80511,80887,80696,77857,77838,79886,81276
25604,Murray Plains (Northern Victoria),62408,62481,62460,62267,62495,62560,62602,62639,62731,62520,62215,62532,62853,63014,63183,63461,63763,63957,64157,64400,64497,64384,63879,63602
25701,Narracan (Eastern Victoria),43201,43502,43814,44211,44656,45417,46192,47210,48602,50250,51610,52896,54108,55213,56499,58085,59695,61466,63329,65317,67401,69180,70658,71969
25805,Narre Warren North (South-Eastern Metropolitan),70899,71972,72995,73939,74263,74364,74778,75345,75919,76241,76302,76877,77483,78150,78689,79573,80087,80467,80711,80388,78569,78134,78999,79584
25905,Narre Warren South (South-Eastern Metropolitan),46040,49838,54418,57609,60326,63337,66285,69648,71995,74126,76373,78613,80880,83128,85649,88402,90571,92219,93262,93465,91843,91897,93552,94316
26001,Nepean (Eastern Victoria),48572,49171,49461,49385,49279,49454,50038,50698,51359,51535,51721,52566,53476,54372,55441,56703,58113,59374,60512,61751,62676,62581,62703,63464
26107,Niddrie (Western Metropolitan),62450,62545,62406,62267,62214,62549,62921,63555,64160,64468,64564,65083,65828,66903,68047,69333,69921,70454,70926,70669,69264,69172,70234,71460
26203,Northcote (Northern Metropolitan),56080,56239,56480,56895,57472,58267,59365,60549,61574,62170,62936,63846,65147,66401,67739,69238,69891,70234,70678,70960,68058,68384,70520,72032
