This tab has one table with the estimated resident population for Commonwealth Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z160.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, Commonwealth Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
329,Wide Bay,117375,119706,122269,124897,127175,129217,131078,133620,136011,137429,138408,140226,142016,143361,144436,145787,147612,149227,150939,152326,153899,156347,159237,162151
330,Wright,104460,108307,112141,115754,119944,123159,127078,130913,135758,139099,142106,145595,149851,153716,157069,161137,165523,170495,175498,180101,184444,190953,197553,205051
401,Adelaide,147763,149700,151725,153686,155940,158991,162671,165777,168774,171814,174290,177334,180132,182723,184976,186856,189561,192475,196307,199939,200380,203442,209368,213125
402,Barker,156684,157483,158111,158675,159684,160202,160986,161602,162122,162871,163062,164680,166169,167838,169220,170430,171420,172578,173730,174946,175895,176775,178252,179477
403,Boothby,154719,154696,155132,155349,155873,157045,158647,160161,162091,163586,164338,165659,166612,167543,168545,169695,171115,172733,174748,176841,177240,178508,182059,184558
404,Grey,167202,166649,166867,166770,166767,167330,168676,169662,170629,171536,171962,172810,173398,173936,174095,173748,173812,174071,174636,175267,176225,177048,178203,179330
405,Hindmarsh,151530,151499,151301,151198,151163,151742,152624,153854,155942,157622,158773,160140,161334,162724,164099,164936,166137,168126,170466,173148,174186,176195,179809,182679
406,Kingston,148108,148629,148996,149401,149930,150783,151471,152640,154102,155308,156333,157640,158607,159577,160415,161213,162367,163250,164508,166031,167425,168759,170886,172417
407,Makin,150815,152073,153640,154337,155569,157125,158965,160698,162685,164054,164615,165641,166697,167677,168728,169851,171211,172619,173835,175433,175460,176141,178094,179333
408,Mayo,125680,128246,130572,132806,135392,137781,140722,143768,146791,149995,152106,154365,156232,158443,160526,162280,164043,166339,169150,172386,175801,179035,182185,185607
409,Spence,136577,137515,138583,140006,141823,143600,146317,149495,152993,156331,159310,162659,165916,169258,172049,175086,178216,181184,184313,187754,190737,194620,199378,204474
410,Sturt,164383,165077,165472,165961,166663,167930,169540,171008,172773,174205,174825,175797,176391,177226,178015,178748,180791,182762,185702,188610,189252,190692,194738,197011
501,Brand,89099,90354,92085,94204,96711,100136,104526,109083,113613,117960,123072,128832,134655,139312,143278,147426,149919,152932,156296,159655,163022,167319,173983,180809
502,Bullwinkel,135902,137078,137985,138876,140726,141660,143456,145421,147703,149448,151820,154795,157151,157816,157725,156966,157591,158399,159717,161701,163647,165030,169003,172486
503,Burt,102960,102767,102916,103678,103823,105124,108391,113216,118444,123478,128941,136088,142886,148042,153634,158822,163870,168600,173919,179480,183719,189095,197253,204854
504,Canning,78298,79877,83153,86837,90435,94619,99624,105578,111178,114605,119559,125168,130003,133217,135899,138327,141190,144315,147816,151666,155357,159321,165534,171400
505,Cowan,131140,131290,132637,134214,135445,137578,141572,145373,149503,152489,156228,160449,163672,164825,165698,165477,166269,167573,169351,172306,173410,174707,179311,182821
506,Curtin,134318,135501,136493,137869,139004,140067,142348,144989,147885,149600,152044,155595,158529,159690,160060,159879,161750,163448,165834,169170,169835,171367,178499,183700
507,Durack,165511,167574,169150,170846,173314,176649,178666,183534,188641,192167,196785,201531,205475,204143,201910,198990,198308,198112,198459,199938,201308,203539,206645,209774
508,Forrest,98687,99902,101055,103277,107482,111164,112932,117109,121395,124823,128120,132892,137098,140010,142327,143665,146102,148500,151140,154119,157047,159818,163238,166713
509,Fremantle,101407,103358,104513,106350,108123,110333,114526,118536,123173,126279,130582,135774,140118,142502,144430,145806,148615,151626,154881,159135,163013,166765,173502,179576
510,Hasluck,86155,87928,89429,91175,92710,95665,99421,103610,107847,111184,114685,120719,126356,130788,134808,139270,143084,146799,151313,156445,160533,165351,172792,179971
511,Moore,156099,156278,156676,157063,156364,156642,157604,158684,159615,160356,162110,163597,164524,163982,163140,161351,161913,162735,163826,165842,167104,167975,172203,175839
512,O'Connor,166771,166662,166830,165592,165688,166155,166502,168564,170990,172648,174670,177382,179141,178101,176395,173416,174195,174500,175094,176396,178123,179297,180887,182679
513,Pearce,53610,57710,62056,67135,73028,79436,88334,96523,104970,110664,117290,124163,130525,135463,140499,146392,150106,153639,157681,161452,164505,168745,175848,182798
514,Perth,119243,121048,122912,124368,126645,129851,134961,140624,146032,149514,153876,157827,161044,162648,163509,164118,165165,166616,169273,173449,174534,176811,184440,189984
515,Swan,137336,139334,141054,142637,144240,146156,151054,156147,161018,164323,169145,173422,176888,178255,179169,179573,180397,181612,184705,188788,189593,191393,200169,206640
516,Tangney,149738,151851,153797,155421,157469,159346,162222,164709,168243,171307,174482,177273,178879,178814,178191,176500,177246,178386,180320,183370,184615,185261,190455,195034
601,Bass,98327,98572,99577,100454,101102,101406,102131,102910,103706,104370,104794,104488,104266,104142,104072,104146,105726,107456,109240,111128,112632,113037,113207,113075
602,Braddon,102432,102046,102811,103520,103610,104218,104806,105903,106937,107508,107714,106978,106241,105639,105083,104740,105798,107309,108858,110430,112231,112757,113038,113142
603,Clark,96617,96750,97779,98487,98539,98661,99236,99940,100895,101583,101932,102218,102665,103366,103990,104819,107315,109610,111865,113205,113461,113336,113245,112993
604,Franklin,85662,85743,86472,87334,88154,88943,89991,91385,92950,94506,95737,96523,97420,98460,99581,100828,103216,105983,108590,110978,113746,115092,116314,117188
605,Lyons,90630,91041,91895,93383,94797,96074,97098,98430,99865,100880,101306,101517,101639,102014,102391,102981,104707,106933,109288,111837,115169,116829,117934,119098
701,Lingiari,111472,111639,111389,111781,113232,114744,117267,120599,123891,126071,126782,128676,130969,131268,131408,131366,132107,132316,132298,133298,134060,136065,137887,139471
702,Solomon,92313,92545,92231,92810,94641,96306,98625,101588,104645,106387,107238,109892,113341,114161,115768,116761,117733,117180,116655,116496,116411,116565,117631,118088
801,Bean,135140,134878,134025,132978,132688,132594,133325,133622,134365,134553,133460,133730,133490,133275,134346,137317,139862,142406,144894,148371,151950,153138,155533,158522
802,Canberra,104226,105458,106866,107643,108914,110928,114157,116488,118606,120598,122192,124166,125603,126425,127655,129634,134302,138403,141486,143979,145158,147149,150751,153246
803,Fenner,82714,84755,86907,88747,90210,92034,95532,98628,102181,106990,112722,119023,124538,129460,134179,138312,143125,147596,151732,154990,157930,159146,162586,164591
,Total Australia,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27194369
(a) Based on 2024 CED boundaries,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,
