            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.5 HOUSEHOLDS WITH DEBT, Debt ratios(a), Household characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLDS WITH DEBT 3 OR MORE TIMES INCOME(b),,,,,,,MEDIAN DEBT TO INCOME RATIO(b),,,,,,,HOUSEHOLDS WITH DEBT 75% OR MORE OF ASSETS,,,,,,,MEDIAN DEBT TO ASSET RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,28.1,29.7,28.7,30.9,31.2,34.6,,0.89,1,0.74,0.99,0.96,1.21,,4.7,5.6,4.3,4.2,6.2,7.1,,0.17,0.19,0.17,0.18,0.18,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,24.5,25.2,25,30.2,21.5,24.5,,0.42,0.45,0.34,0.86,0.32,0.44,,7.3,14.1,7.8,11.8,8.3,12.7,,0.06,0.18,0.08,0.13,0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,8.6,12.4,11.5,10.4,11.4,13,,0.08,0.08,0.06,0.06,0.07,0.07,,3.4,4,3.4,2.7,3.6,4.3,,0.01,0.01,0,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,26.4,27.7,29.2,32,32.3,34.7,,1.22,1.39,1.35,1.66,1.61,1.67,,3.5,3.8,3.2,3.7,4.2,5.7,,0.19,0.21,0.2,0.22,0.2,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% to less than 20%,26.3,22.8,28,28.8,29.4,30.9,,1.28,1.06,1.23,1.23,1.43,1.22,,2.8,2.4,2.5,2.8,3.8,5.5,,0.21,0.17,0.21,0.21,0.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20% to less than 50%,18.6,19.2,18,15.1,18.8,18.1,,0.33,0.44,0.45,0.36,0.41,0.35,,5.3,5.4,4.8,3,9.9,7.5,,0.09,0.14,0.15,0.1,0.16,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50% to less than 90%,11.9,12.4,11.7,10.8,11.9,11.9,,0.12,0.1,0.09,0.09,0.12,0.13,,4.3,5.1,4.4,5.8,7.7,7.9,,0.03,0.02,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90% and over,13.5,14.4,13.7,10.1,9.3,10.4,,0.11,0.2,0.13,0.12,0.12,0.11,,5.7,7.3,5.3,4.5,4.5,8.2,,0.04,0.05,0.03,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,8.1,9,9.2,6.7,7.9,9.1,,0.07,0.06,0.06,0.06,0.06,0.07,,0.1,0.1,0,0.2,0,0.1,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner with a mortgage,40.7,40.8,44.3,47.1,48.9,52.2,,2.51,2.55,2.69,2.85,2.91,3.12,,3,3.1,2.7,2.3,3.3,5,,0.3,0.3,0.32,0.3,0.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,1.3,1.7,0.8,1.3,3.3,0,,0.1,0.12,0.1,0.09,0.1,0.11,,12.6,13.4,8.3,12.1,15.5,18.8,,0.11,0.15,0.1,0.1,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private landlord,7,6.2,7,6.5,7.1,9.7,,0.23,0.21,0.2,0.25,0.25,0.28,,8.4,9.1,7.6,9.2,10.6,13.1,,0.16,0.15,0.14,0.17,0.16,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other landlord type,15.5,4,8.1,12.3,9.6,12.8,,0.34,0.18,0.22,0.2,0.32,0.37,,3,6,9.3,8.8,14.8,9.8,,0.16,0.11,0.19,0.14,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total renters,6.8,5.9,6.7,6.6,7.2,9.5,,0.22,0.21,0.19,0.23,0.24,0.28,,8.6,9.3,7.8,9.2,11,13.4,,0.16,0.15,0.14,0.16,0.16,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other tenure type,15,17.1,16.6,19,14.2,14,,0.23,0.27,0.38,0.4,0.27,0.19,,5.6,5.9,9,6.6,8.2,5.6,,0.05,0.11,0.11,0.14,0.15,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,30.8,30.3,33.7,37.1,40.4,42.7,,1.83,1.84,2.04,2.18,2.41,2.52,,2,2.1,2.5,2.4,4.2,5.4,,0.23,0.25,0.27,0.27,0.28,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One parent family with dependent children,21.2,23.9,22.8,25.3,27.5,26.6,,0.49,0.54,0.53,0.61,0.65,0.53,,7.3,9.3,6.6,6.6,8.8,12.2,,0.17,0.21,0.18,0.24,0.26,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Couple only,23.2,22.4,23.6,23.1,22.4,24,,0.62,0.61,0.48,0.55,0.48,0.46,,3.8,3.1,3.2,3.7,3.5,4.1,,0.12,0.12,0.1,0.1,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other one family households,14.2,14.9,17.4,16.9,17.3,18.6,,0.58,0.53,0.51,0.59,0.66,0.62,,3.4,3.3,2,1.6,3.8,5,,0.1,0.11,0.1,0.1,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple family households,18,12.7,27.3,27.9,21.2,30.3,,0.32,0.81,1.82,1.1,1.05,1.24,,1.9,0.8,2,0,1.8,10.6,,0.13,0.16,0.25,0.2,0.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone person,25.2,27.9,25.2,25.8,25.7,28.6,,0.44,0.54,0.36,0.39,0.45,0.52,,5,6.2,5,5.6,6.6,6.8,,0.11,0.12,0.09,0.11,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group households,9.6,9.4,9.5,9.2,6,17,,0.35,0.27,0.27,0.47,0.35,0.52,,9.1,14.8,11.1,11.5,14.8,18.9,,0.22,0.21,0.23,0.29,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,16.4,10.2,10.3,14.6,11.8,13.8,,0.32,0.37,0.29,0.34,0.45,0.35,,19.5,21.3,18.5,25,32.2,30.5,,0.37,0.42,0.29,0.4,0.51,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,32.4,30.5,29.8,33.4,32.6,36.7,,1.57,1.49,1.05,1.55,1.14,1.71,,7.4,9,8.1,7.8,10.1,13,,0.38,0.39,0.37,0.39,0.35,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,32.6,34.3,37,38.9,45.2,42.9,,1.9,2.1,2.19,2.28,2.68,2.47,,3.5,3.3,3.3,2.9,5.2,8.5,,0.28,0.29,0.31,0.31,0.33,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,23.9,24.7,29.2,31.4,30.7,35.7,,1.19,1.26,1.41,1.79,1.82,2.03,,1.9,2.4,1.8,2.2,3.1,2.8,,0.15,0.17,0.18,0.19,0.18,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,18,18.6,20.4,20.6,21.4,24.9,,0.51,0.59,0.56,0.72,0.79,0.93,,1.4,1.1,0.8,1.5,0.8,2.2,,0.06,0.06,0.07,0.07,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,7.1,9.8,10.7,8.5,10.7,10.8,,0.07,0.07,0.06,0.07,0.08,0.08,,0.2,0.4,0.6,0.4,1.3,0.7,,0.01,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,3.8,5.5,6.3,5.8,6.9,4.7,,0.04,0.05,0.04,0.05,0.04,0.04,,0.6,0,0.3,0.4,0.7,0.3,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,6,8.4,9.3,7.6,9.3,9.1,,0.06,0.06,0.05,0.06,0.07,0.06,,0.4,0.3,0.5,0.3,1.4,0.8,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,25,24.1,25.8,26.4,28.6,33.1,,0.78,0.81,0.79,1.02,0.9,1,,4.2,3.4,3.1,3.1,3.8,6.2,,0.16,0.17,0.15,0.16,0.14,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,22.9,22.2,25.2,26.2,27.5,31,,0.97,0.85,0.86,0.85,1.18,1.11,,2.7,4.4,2.8,3.5,4.5,6.1,,0.15,0.15,0.15,0.16,0.16,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,24.8,25.9,26.1,27.7,26.6,25.3,,0.98,1,0.84,1.05,0.96,0.86,,3.8,4.5,5.1,3.7,6.1,6.9,,0.17,0.2,0.21,0.21,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,21,22.8,23.1,26,24.1,26.3,,0.8,1.08,1.04,1.02,1.11,1.23,,3.5,3.5,3.6,3.6,4,3.7,,0.16,0.17,0.17,0.17,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,28.4,29.6,31.5,31.9,36.5,34.7,,1.31,1.32,1.39,1.46,1.66,1.6,,5,5.2,3.5,5.4,6.4,8.2,,0.19,0.21,0.21,0.2,0.23,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,15.1,18,17.9,18.8,19.1,19.3,,0.77,0.77,0.9,0.89,0.84,0.75,,2.9,3.2,2.7,3.5,3.4,3.1,,0.09,0.14,0.15,0.14,0.15,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (d),26.2,25.4,27.7,37.4,33.3,30.1,,1.71,1.14,0.98,1.94,1.76,1.3,,3.6,3.8,6.5,7.3,7.8,5.7,,0.27,0.24,0.19,0.3,0.26,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,21.2,24.9,27.1,29,28.7,31.3,,0.72,0.87,0.95,0.92,1.05,1.55,,3.7,4.2,3.5,5.4,4.7,4.5,,0.14,0.17,0.19,0.17,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,24.2,24.4,26,27.2,28.4,30.3,,0.89,0.94,0.89,1.01,1.1,1.09,,3.7,4.1,3.5,3.7,4.8,6.2,,0.16,0.17,0.17,0.17,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Debt ratios are calculated only for households with debt. Includes households with nil or negative income or assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Current disposable household income annualised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(d) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population in the NT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3.5 HOUSEHOLDS WITH DEBT, Debt ratios(a), Household characteristics – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLDS WITH DEBT 3 OR MORE TIMES INCOME(b),,,,,,,MEDIAN DEBT TO INCOME RATIO(b),,,,,,,HOUSEHOLDS WITH DEBT 75% OR MORE OF ASSETS,,,,,,,MEDIAN DEBT TO ASSET RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,RELATIVE STANDARD ERROR (%),,,,,,,95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,0,0,0,0,0,0,,..,..,..,..,..,..,,np,10.3,11.1,np,np,np,,42.6,25,47.8,47.9,42.2,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,1.4,1.2,1.4,1.3,1.9,1.5,,5.8,4.5,2.6,3.2,4.2,3.3,,0.6,0.4,0.6,0.6,0.8,0.9,,4.1,2.8,2.5,3.3,2.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,5.5,4.4,5.6,5.8,7.5,7.7,,19.1,15,18.2,19.4,17.6,19.3,,1.9,1.6,1.8,2,2.5,4.5,,16.5,14.1,15.5,13.5,11.1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,2.1,2.8,2.2,2.1,2.3,2.4,,8.6,9.4,8,7,12.8,9.8,,1.2,1.6,1.2,1.3,1.8,2.2,,19.3,16.3,18.9,17,12.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,2.8,3.4,3,3.4,2.6,3,,19.5,14.1,16,12.8,10.2,14.2,,1.4,1.4,1,1.2,1.4,1.6,,23.6,29.3,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,1.6,1.2,1.7,1.5,2,1.6,,4.6,5.1,3.9,3.9,4,4.6,,0.7,0.5,0.6,0.7,0.9,1.1,,3.4,2.5,3.1,3.2,2.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,1.9,2.1,1.9,2,2.2,2.4,,10.7,8.7,9.4,10.9,11.2,12.7,,0.8,0.9,0.9,0.9,1.2,1.4,,5.8,4.5,4.5,4.3,4.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,7.4,9.7,6.5,9.2,7.7,10,,np,31.3,37.7,22.8,31.6,39.2,,4.3,7.4,4.1,6.4,5.3,8.2,,48.4,19,38.3,19.6,45.1,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,1.7,2.6,2.3,2,1.9,2.2,,11,6.5,7.4,4.3,7.3,7.3,,1.1,1.2,1.2,1,1.4,1.4,,21.7,12.5,0,25.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,1.4,1.1,1.7,1.1,1.6,1.4,,6.1,5.2,3.7,3.4,4.3,5,,0.6,0.5,0.6,0.6,0.7,0.8,,3.7,3,3.2,3.5,5.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1% to less than 20%,2.1,2.4,2.1,2.8,3.2,3.5,,8.1,6.9,8.9,11.8,12.9,14.2,,1.1,0.7,1,1.1,1.3,1.8,,8,6.2,4.5,7.3,8.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20% to less than 50%,3,3.2,3.1,2.7,3.6,5.2,,23.5,17.4,11.9,9.9,12.7,16.8,,1.9,1.9,1.8,1.4,3.4,3.3,,24.9,10,9,12.8,9.6,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50% to less than 90%,3.1,3.4,3.2,2.8,4.1,3.7,,19.1,16.1,12.1,17,23.3,19.6,,1.7,2.2,1.8,2.3,3.2,3.9,,33.5,25.3,30.7,38.3,25.5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90% and over,2.9,3.5,3.3,2.5,2.6,3.6,,12.3,16.7,14.3,10.6,13.4,14.8,,1.7,2.2,2,1.6,1.9,3,,21.5,18.1,26.2,17,19.6,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),1.2,0.9,1,0.8,1.4,1.2,,4.7,4.8,3.7,5.1,4.9,5.6,,0.5,0.4,0.4,0.5,0.6,0.7,,4.4,3.4,2.8,3,3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,1.2,1.6,1.3,1.3,1.4,1.6,,9.4,5.6,5.2,4.3,8.5,7.3,,np,np,0,np,0,np,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner with a mortgage,2,1.4,1.6,1.2,2.4,1.9,,3.2,1.5,1.7,1.5,2,1.7,,0.6,0.6,0.5,0.6,0.7,0.8,,2.7,1.6,2.1,1.7,1.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,np,np,np,np,np,0,,21.4,15,15.8,19.2,25.5,20.9,,5.6,6.2,5.6,7.2,11.5,7.7,,22.7,25.3,23.1,23,25.7,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
