            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 13.8  HOUSEHOLD CHARACTERISTICS, States and territories, Greater Capital City Area",,,,,,,,,,,,,,,,,,,,
,,Greater Sydney,Greater Melbourne,Greater Brisbane,Greater Adelaide,Greater Perth,Greater Hobart,Greater Darwin,ACT(a),Aust.,,,,,,,,,,
Owner without a mortgage,%,25.4,28.6,23.8,28,25.4,32.1,14.7,27,26.4,,,,,,,,,,
Owner with a mortgage,%,37.4,38.6,38.4,40,44,39.9,43.3,42.2,39,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,%,2.6,1.6,3.1,4.7,2.8,3,4.3,5.5,2.7,,,,,,,,,,
Private landlord,%,30.4,27.4,30.6,22.8,23.8,21.2,32.1,19.7,27.5,,,,,,,,,,
Other landlord type,%,1.8,1.4,2.4,2.4,2,2.8,3.3,2.8,1.9,,,,,,,,,,
Total renters,%,34.8,30.5,36.1,29.6,28.6,26.1,39.1,28.1,32.1,,,,,,,,,,
Other tenure type,%,2.4,2.5,1.6,1.9,2.5,1.8,2.6,2.4,2.3,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,%,31.4,28.5,27.9,24.2,30.2,22.5,30.7,27.6,29,,,,,,,,,,
One parent family with dependent children,%,5.1,5.2,6,5.7,5.9,8.5,4.3,5.6,5.6,,,,,,,,,,
Couple only,%,22.8,24.4,26.4,26.3,26.5,29,35.3,26.2,24.8,,,,,,,,,,
Other one family households,%,13,12.2,10.2,11.3,9.5,7.2,14.8,7.9,11.5,,,,,,,,,,
Multiple family households,%,3.3,2.1,3.7,1.8,1.3,2.4,2.4,1.1,2.5,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,
Lone person,%,21.2,23.7,22.1,28.7,25,27.4,10.2,27.8,23.3,,,,,,,,,,
Group households,%,2.7,3.2,4.3,1.8,2.4,3.7,2.3,3.2,3,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,years,50,50,50,53,51,53,48,49,50,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,
Employed persons,no.,1.5,1.4,1.3,1.2,1.3,1.3,1.7,1.4,1.4,,,,,,,,,,
Dependent children,no.,0.7,0.7,0.7,0.6,0.7,0.5,0.7,0.6,0.7,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,
Under 18 years,no.,0.6,0.6,0.6,0.5,0.6,0.5,0.7,0.6,0.6,,,,,,,,,,
18 to 64 years,no.,1.8,1.7,1.7,1.5,1.6,1.5,1.9,1.6,1.7,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,
65 to 74 years,no.,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,,,,,,,,,,
75 years and over,no.,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,
Total 65 years and over,no.,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,,,,,,,,,,
Total ,no.,2.8,2.6,2.6,2.4,2.6,2.4,2.9,2.5,2.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,
Households,'000,1899.1,1908.3,997.4,570.4,804.5,100.7,50.7,169.8,6511.2,,,,,,,,,,
Persons,'000,5292.7,5034,2643.4,1374.9,2065.2,239.2,144.3,417.2,17205.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,2134,1787,990,1272,989,658,506,951,9287,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,
(a) Greater Capital city estimates for the ACT relate to total ACT,,,,,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 13.8  HOUSEHOLD CHARACTERISTICS, States and territories, Greater Capital City Area – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,
,,Greater Sydney,Greater Melbourne,Greater Brisbane,Greater Adelaide,Greater Perth,Greater Hobart,Greater Darwin,ACT(a),Aust.,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),0.5,0.3,0.6,0.6,0.5,np,np,np,0.2,,,,,,,,,,
Employee income,MOE(±),1.2,2.2,3.3,2.3,3.1,2.8,4.6,3,1.3,,,,,,,,,,
Own unincorporated business income,MOE(±),0.7,1,1.4,1.2,1.4,2.5,np,1,0.4,,,,,,,,,,
Government pensions and allowances,MOE(±),1.5,2.2,3.1,2.3,2.2,4.1,4.3,2.4,0.9,,,,,,,,,,
Other income,MOE(±),1.5,1.7,2.2,2.2,2.2,4,2.7,2.7,0.8,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),2.2,2.2,3.8,2.2,2.3,2.9,3.8,2.4,1.2,,,,,,,,,,
1 employed person,MOE(±),2.1,2.2,3.2,2.9,3.5,5.8,5.7,3.4,1.2,,,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),0.6,0.7,1.5,1.1,1.1,np,np,np,0.4,,,,,,,,,,
No persons in the labour force,MOE(±),1.9,1.7,2.8,2.1,2.2,5,3.3,2.2,0.9,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),1.4,2.6,3.7,3.1,3.6,4.5,0,3.8,1.3,,,,,,,,,,
1% to less than 20%,MOE(±),1.6,1.9,2.4,2.4,3.1,3.2,3.8,2.9,1,,,,,,,,,,
20% to less than 50%,MOE(±),1.1,1.6,2.8,1.9,2,3.6,2.5,2.3,0.8,,,,,,,,,,
50% to less than 90%,MOE(±),1.1,1.4,1.7,1.8,1.9,2.4,3.1,1.4,0.7,,,,,,,,,,
90% and over,MOE(±),1.2,1.6,2.9,2.1,2.2,2.9,2.7,1.9,0.8,,,,,,,,,,
Total(b),MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),2.2,2.2,3.1,2.4,3,5.2,3.7,3.2,1,,,,,,,,,,
Owner with a mortgage,MOE(±),2.3,2.8,3.2,2.7,3.7,5.2,5.5,4.2,1.5,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),0.7,0.7,1.3,1.3,1.1,1.6,2.8,1.7,0.4,,,,,,,,,,
Private landlord,MOE(±),2.7,3.1,3.5,2.5,3.1,3.9,7.2,3,1.3,,,,,,,,,,
Other landlord type,MOE(±),0.7,0.6,1.1,0.9,1,1.5,2.1,1.8,0.3,,,,,,,,,,
Total renters,MOE(±),2.7,3.2,3.8,2.6,3.4,4.9,7.8,3.7,1.4,,,,,,,,,,
Other tenure type,MOE(±),0.7,1.1,1,1,1.2,np,1.8,1.4,0.4,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,MOE(±),2,2,3.2,2,2.6,4.2,3.9,1.8,1,,,,,,,,,,
One parent family with dependent children,MOE(±),0.9,1,1.9,1.3,1.7,3.1,2.7,1.2,0.5,,,,,,,,,,
Couple only,MOE(±),1.6,1.7,2.4,2.1,2.3,4.6,4.1,1.7,0.9,,,,,,,,,,
Other one family households,MOE(±),1.5,1.8,2.4,2.2,1.7,3.1,4.8,2.1,0.8,,,,,,,,,,
Multiple family households,MOE(±),0.9,1.1,1.8,1.1,1.2,1.8,np,np,0.5,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,
Lone person,MOE(±),1.4,0.9,2.5,1.3,0.9,3.5,3.8,0.4,0.5,,,,,,,,,,
Group households,MOE(±),0.8,1.1,1.7,1.2,1.6,1.7,2.1,1.7,0.5,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,RSE(%),0.7,0.7,1.2,0.6,0.7,1.6,1.1,0.6,0.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,
Employed persons,RSE(%),1.5,1.4,2.7,1.5,1.2,4.2,2.6,1.1,0.7,,,,,,,,,,
Dependent children,RSE(%),2.5,2.5,5,3,3.2,6.5,6.5,1.6,1.4,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),3,2.5,5.9,3,2.7,7.1,6.8,1.5,1.5,,,,,,,,,,
18 to 64 years,RSE(%),1.1,1.2,2.3,1.1,1,3.4,1.4,0.8,0.6,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,
65 to 74 years,RSE(%),4.9,4,7.4,2.9,2.9,9.5,9,4.2,2.2,,,,,,,,,,
75 years and over,RSE(%),5.7,4.1,8.6,3.8,3.7,13.4,19.7,6.8,2.4,,,,,,,,,,
Total 65 years and over,RSE(%),4,3,6.3,2.6,2.3,7.2,5.5,0.1,1.7,,,,,,,,,,
Total ,RSE(%),0.9,0.9,1.7,0.8,0.9,2,1.6,0,0.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,
Households,RSE(%),1.8,1.8,2.9,1.6,1.3,6.8,5.1,0.2,0.7,,,,,,,,,,
Persons,RSE(%),2.1,2.1,3.3,1.8,1.4,7.3,5.5,0.1,0.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,
(a) Greater Capital city estimates for the ACT relate to total ACT,,,,,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,
