            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 8.1  INCOME DISTRIBUTION, Tenure and landlord type",,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,
"Table 8.1  INCOME DISTRIBUTION, Tenure and landlord type – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,
Private income,3.4,1.7,14.7,1.8,18,2,8.3,1.2,,,,,,,,,
Government pensions and allowances (a),2.5,4.9,3.1,4.8,9.8,3.5,10.9,1.6,,,,,,,,,
Gross income,2.7,1.6,3.8,1.5,12.8,1.6,6.2,1.1,,,,,,,,,
Disposable income,2.1,1.3,3.6,1.3,11.2,1.3,5.2,0.8,,,,,,,,,
Equivalised disposable income,2.2,1.4,2.9,1.3,8.5,1.3,4.7,0.9,,,,,,,,,
,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,
Private income,3.8,1.7,np,1.7,np,3.2,10.9,1,,,,,,,,,
Government pensions and allowances (a),18.7,np,0.4,np,18.3,np,np,np,,,,,,,,,
Gross income,1.9,1.5,5.3,1.9,14.9,1.8,9.3,0.9,,,,,,,,,
Disposable income,2.1,1.1,5.3,1.6,14,1.8,7.5,0.9,,,,,,,,,
Equivalised disposable income,1.7,1.3,2.1,1.8,10.1,1.7,6.3,0.8,,,,,,,,,
,,,,,,,,,,,,,,,,,
Imputed rent (b),,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (c) ,2.7,3.9,3.3,10,11,5.4,3.8,2.1,,,,,,,,,
Market rent (d),2,1.6,1.3,8,4.1,4.3,2.9,1.3,,,,,,,,,
Housing costs (e),0.7,1.3,3.5,0.9,6.3,1,17.7,0.8,,,,,,,,,
,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,
   10th (P10),4.1,2.8,6.4,3.7,6.8,3.2,20.3,1,,,,,,,,,
   20th (P20),1,2,4.9,2,4.7,1.6,4.8,1,,,,,,,,,
   30th (P30),1.4,1.6,3,2,6.3,1.8,6,0.9,,,,,,,,,
   40th (P40),1.5,1.5,0.8,1.6,8.5,1.4,6.5,0.8,,,,,,,,,
   50th (P50),1.7,1.3,2.1,1.8,10.1,1.7,6.3,0.8,,,,,,,,,
   60th (P60),1.8,1.4,3.7,1.7,15.6,1.5,6.5,0.9,,,,,,,,,
   70th (P70),2.1,1.3,4.8,1.7,11.7,1.8,4.9,1.1,,,,,,,,,
   80th (P80),2.2,1.5,4.9,2.2,12.3,1.9,5.9,1.1,,,,,,,,,
   90th (P90),3,1.9,6.1,2.1,19.5,2.3,9.4,1.1,,,,,,,,,
,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
