            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Household composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,3075,3416,3666,3673,3378,1700,3194,3754,2100,1448,2409,,2845,2655,3433,,1417,1473,1098,747,1110,2116,2359,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,2841,3285,3836,5114,3327,1661,2736,2596,2565,1527,2115,,3523,2815,3092,,1318,1402,1207,703,1061,2735,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,2751,3002,3978,2882,3005,1481,2432,3003,2009,1396,1954,,2628,2635,3425,,1144,1307,1159,715,998,1615,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,2777,3161,2713,5020,3209,1289,2870,3648,2848,1391,2406,,2933,3685,3177,,1713,1482,1458,722,1203,2157,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,2254,2686,3056,3232,2748,1309,2161,2046,2094,1412,1800,,2442,2244,4821,,1074,1120,848,728,894,1811,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (c),3092,3408,6695,5080,3620,1584,2422,2506,2682,1914,2427,,3472,2860,3124,,1407,1852,856,1073,1291,1697,2711,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,3657,4286,3597,4578,3965,1815,3482,3585,3113,2317,2939,,3139,3753,5888,,1868,1974,1393,977,1537,2953,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3086,3406,3763,4187,3396,1674,2852,3183,2379,1509,2263,,3160,2836,3562,,1416,1506,1152,771,1110,2341,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,1185,1204,1314,1217,1203,981,1509,1682,1384,1291,1507,,1281,1292,1079,,1277,1468,1355,1315,1376,1275,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,1150,1212,1051,1007,1149,633,1794,1180,1049,789,1223,,632,1091,1863,,923,797,856,952,888,1170,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,453,435,422,432,475,525,413,595,608,582,583,,822,687,641,,483,509,531,539,534,645,557,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,1103,1713,1614,2413,1516,1039,2645,2129,1315,1229,1305,,988,1213,941,,660,650,692,1081,935,999,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(d),1123,1173,1263,1207,1158,789,1539,1626,1269,914,1242,,1182,1184,1031,,1156,1192,957,721,938,1180,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,1352,1270,1335,1279,1297,1036,1663,1790,1557,1371,1647,,1288,1387,1115,,0,0,0,0,0,1341,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,830,955,1000,509,855,861,993,1108,1075,1207,1113,,869,866,722,,1264,1393,1312,1248,1323,885,974,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,454,321,297,515,463,440,370,667,294,601,380,,724,665,454,,550,495,381,151,453,920,506,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,446,433,635,328,451,476,215,444,750,797,783,,835,709,511,,416,526,542,661,625,754,673,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1123,1173,1263,1207,1158,789,1539,1626,1269,914,1242,,1182,1184,1031,,1156,1192,957,721,938,1180,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,777,0,0,91,794,703,1068,0,0,0,1068,,945,864,720,,841,0,0,0,841,1068,944,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,984,930,720,1343,974,665,1596,0,0,0,1596,,1283,1222,1214,,1223,0,0,0,1223,1318,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,1173,1159,932,954,1141,778,0,1687,0,0,1687,,1230,1110,839,,0,1311,0,0,1311,1511,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,1378,1240,1265,1175,1238,859,0,1584,0,0,1584,,1050,1215,1181,,0,1104,0,0,1104,955,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,1943,1077,1374,1461,1368,798,0,0,1269,0,1269,,1413,1337,1170,,0,0,957,0,957,896,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,849,836,1103,702,888,640,0,0,0,982,982,,949,982,972,,0,0,0,774,774,852,932,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,0,0,2512,0,941,581,0,0,0,808,808,,963,876,924,,0,0,0,666,666,751,775,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,849,836,1350,702,894,618,0,0,0,914,914,,944,948,968,,0,0,0,721,721,831,870,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1123,1173,1263,1207,1158,789,1539,1626,1269,914,1242,,1182,1184,1031,,1156,1192,957,721,938,1180,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,1161,1252,1256,1168,1203,842,1437,1617,1188,957,1227,,1251,1190,1068,,1031,1254,911,753,940,1214,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,1162,1167,1278,1109,1156,824,1674,1856,1183,913,1310,,1073,1115,1007,,1149,1157,901,701,933,1109,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,1062,1123,1403,1399,1139,738,1443,1364,1338,866,1165,,1181,1184,970,,1032,1121,1014,698,903,1248,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,1052,1079,1325,934,1065,768,1405,1488,1147,853,1118,,1260,1131,936,,965,1058,998,688,872,1087,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,1050,1117,914,1410,1097,665,1842,1885,1489,839,1362,,1277,1404,1115,,1609,1185,1172,680,1043,1029,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,908,988,1264,1013,1009,663,1271,1144,1131,875,1032,,955,1023,1295,,884,929,794,708,802,1011,961,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (c),1109,1196,2035,1286,1223,640,1518,1335,1400,1090,1327,,1464,1232,1002,,1147,1452,721,934,1080,950,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,1348,1441,1389,1163,1381,898,1668,1699,1732,1415,1613,,1329,1475,1631,,1531,1584,1065,951,1281,1464,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1123,1173,1263,1207,1158,789,1539,1626,1269,914,1242,,1182,1184,1031,,1156,1192,957,721,938,1180,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Household composition – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY GROSS HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,np,np,46.7,0,np,np,np,np,29.8,np,20.9,,0,np,0,,np,np,np,np,np,0,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,3.5,3.1,6.1,5.2,1.9,7.3,2.4,3.6,3.8,8.2,1.7,,5.9,2.6,4.4,,5.8,3.6,4.3,10.2,2.4,4.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,36,19.1,29.3,37.7,16.3,16.4,30.2,17.6,19.7,20.2,14.2,,34.1,19.1,np,,40.9,14.7,16.6,np,18.4,20.7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,12.3,9.5,25.6,15.4,7,4.3,np,11.4,10.1,1.3,1.6,,17.6,4.7,13.7,,7.6,5.1,7.7,1,1.3,8.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,20.5,23,np,44.7,16.4,42,np,np,16.9,5.2,7.1,,34,16.8,np,,48.8,17,18.2,4.8,5.2,17.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.8,3.1,6.3,5.6,1.9,5.9,5.3,3.6,4.1,3.4,2,,5.2,2.6,4.6,,5.8,3.6,4.5,2.7,1.8,5.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,4.7,2.8,6.4,5.6,2,12.8,5.5,3.8,5.2,8.6,2.3,,5.9,3,4.4,,0,0,0,0,0,5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,3.8,12.1,28.2,14.6,4.8,7.4,9.9,11.1,5.5,9.2,4.3,,14.9,3.7,8.1,,5.9,3.6,4.8,9.4,2.3,7.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,23.9,22.5,48.7,np,11.1,7.6,np,np,46.6,np,22.4,,27,15.4,np,,41.5,14.9,17.9,np,11.3,36.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,24.8,31.4,np,0,17.7,5.6,np,21.6,12.2,3.8,3.6,,16.1,6.7,np,,23.8,7.3,7.2,2.5,2.1,14,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.8,3.1,6.3,5.6,1.9,5.9,5.3,3.6,4.1,3.4,2,,5.2,2.6,4.6,,5.8,3.6,4.5,2.7,1.8,5.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,16.9,0,0,np,14,20.1,7.8,0,0,0,7.8,,25.8,9.9,np,,16.3,0,0,0,16.3,9.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,3.6,9.8,0,32.3,3.4,6.5,5.7,0,0,0,5.7,,9.2,7.8,18.8,,6.3,0,0,0,6.3,7.9,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,4.3,5.4,15,8.1,3.2,12.6,0,6,0,0,6,,18.1,11.2,11.1,,0,5.4,0,0,5.4,17.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,22.6,4.2,8.1,7,3.5,9.4,0,5.4,0,0,5.4,,18.8,5,7.2,,0,4.4,0,0,4.4,9.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,np,17,11.9,12.9,9.1,12.2,0,0,4.1,0,4.1,,17.8,5.1,10.8,,0,0,4.5,0,4.5,10.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,0,21.2,33.9,23.5,13.5,23.3,0,0,0,4.2,4.2,,18.2,6.6,13.6,,0,0,0,4,4,15.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,0,0,np,0,45.3,34,0,0,0,4.7,4.7,,15.3,7.8,12.9,,0,0,0,3.7,3.7,21.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,0,21.2,34.6,23.5,15,15.4,0,0,0,3.4,3.4,,11.5,5.2,10.9,,0,0,0,2.7,2.7,12.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.8,3.1,6.3,5.6,1.9,5.9,5.3,3.6,4.1,3.4,2,,5.2,2.6,4.6,,5.8,3.6,4.5,2.7,1.8,5.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,7.4,6.2,12,11.9,3.6,6.5,5.1,5.2,9.9,6.5,4,,10.4,4.1,6.6,,9.2,7.7,7.2,5.4,4.2,8.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,8,8.1,9.5,9,3.7,16.5,6.8,8.9,6.9,5.8,3.8,,8.9,4.5,11.1,,10,7.6,10.1,6.9,4.4,7.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,5.6,5.8,25.1,16,4.8,14.5,5.6,6.5,11.2,8.8,4.5,,12.4,7,9.4,,13.7,9.1,11.3,6.7,4.6,12.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,6.8,4.9,15.6,9.3,3.6,19.4,14.3,11.1,7.9,10.8,5.9,,28.4,7.1,24.6,,7.5,8.1,22.6,11.9,6.5,25.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,6.1,7,26.4,16.3,4.4,8.1,41.9,13.9,8.5,7.7,11.2,,15,11,47.4,,29.6,10.1,13.4,6.5,7.9,15,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,12,10.4,36.2,12.8,8.3,7.5,9,8.6,11.4,8.6,4.9,,17.5,9.9,17.1,,10.7,12.2,13.7,7.7,5.5,29.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (c),10.2,12.2,22.2,18.7,6.6,15.4,11.3,8.4,11.2,13.3,4.9,,14.3,9.5,12,,13.9,20.4,26.9,17.4,12.2,22.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,8.8,6.9,19.1,48.6,5.1,13.5,10.5,13.9,7.8,10.2,5.1,,36.7,12.7,20.4,,10.3,8.7,10,8.2,5,26.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.8,3.1,6.3,5.6,1.9,5.9,5.3,3.6,4.1,3.4,2,,5.2,2.6,4.6,,5.8,3.6,4.5,2.7,1.8,5.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,2.9,2.6,4.6,4.3,1.5,5.1,1.9,3.1,3.1,6.7,1.4,,5.4,2.1,4.3,,4.3,3,3.8,8.8,1.9,3.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,34.2,15.7,26.6,29.3,13.2,8.7,21.9,13.7,15.7,19,10.8,,12.3,14.3,40,,np,15,13.6,45.3,14.3,18.9,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,9.2,6.8,19.4,13.1,5.3,3.6,np,9.9,9.1,1.2,1.5,,9.3,3.1,10.5,,10,4.8,6.9,0.9,1.2,7.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,16.4,20.6,29.6,39,13.5,36.1,np,35.5,11.4,4.2,4.8,,9,13.8,np,,36.4,17.8,21.4,4.2,4.9,15,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(d),3,2.7,5,4.3,1.6,4.3,3.4,3.1,3.2,2.8,1.5,,4.5,2,4.2,,4.6,3,4.3,2.2,1.5,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,3.7,2.3,5,4.3,1.6,7.6,3.5,3.1,3.9,7.5,1.7,,5.3,2.4,4.2,,0,0,0,0,0,4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,3.2,10,18.9,9.4,3.8,5.9,8.3,9.1,4.4,7.4,3.5,,10.2,3.2,7.3,,4.5,3,4.8,7.7,2,6.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,18.5,18.6,np,29.8,8.8,6.9,np,np,43.1,np,22.9,,9.8,11,np,,42.5,14.8,17.4,np,12.4,35.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,15.9,22.3,np,np,14,5,np,20.4,8.2,3.1,3,,11.5,5.1,np,,23.5,6.3,6.4,2.1,1.9,13.2,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3,2.7,5,4.3,1.6,4.3,3.4,3.1,3.2,2.8,1.5,,4.5,2,4.2,,4.6,3,4.3,2.2,1.5,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
