            Australian Bureau of Statistics,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,
"Table 6.2  HOUSEHOLD ASSETS AND LIABILITIES, Gross income quintiles",,,,,,,,,,,,
,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,
,,,,,,,,,,,,
Total assets,657.8,831.2,950.7,1235.8,2565.1,1245.2,,,,,,
,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,
Property loans,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,24.9,46.3,93.9,153.5,255.7,114.7,,,,,,
Principal outstanding on other property loans,11.7,24.6,40.7,81.9,179.7,68.1,,,,,,
Total property loans,36.2,70.7,134.4,235.3,437.4,183.3,,,,,,
,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,
Debt outstanding on study loans,1.8,3.4,6.4,10,10.1,6.3,,,,,,
Amount owing on credit cards,0.9,1.4,2.2,2.5,4.9,2.4,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),0.6,1.6,3.2,6.2,8.7,4.1,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),1.5,1.3,2.6,6.1,21.5,6.5,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),0.8,1.1,2.1,1.7,1.8,1.4,,,,,,
,,,,,,,,,,,,
Total liabilities,41.6,79.5,150.9,261,483.5,203.8,,,,,,
,,,,,,,,,,,,
Net worth of household,615.7,752.2,799.4,972.9,2084.6,1042,,,,,,
,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,
Selected net values (c),,,,,,,,,,,,
Net value owner occupied dwelling,328.3,339.1,318.7,343.5,612.4,387.8,,,,,,
Net value other property,61.5,92.3,85.9,122.3,257.3,122.9,,,,,,
Net value total property,390.5,427.9,404.8,464.3,874.2,511.6,,,,,,
Net value vehicles,11.3,17.3,20.8,26.3,41.5,23.4,,,,,,
,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,
"(a) Includes the value of debentures and bonds, silent partnerships, other financial investments and loans to persons not in the same household",,,,,,,,,,,,
(b) Includes value of assets nec,,,,,,,,,,,,
(c) Selected net values are the asset value net of associated loans,,,,,,,,,,,,
,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,
"65230DO006_201920 Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,
"Table 6.2  HOUSEHOLD ASSETS AND LIABILITIES, Gross income quintiles – Relative standard errors (RSE)",,,,,,,,,,,,
,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,
Household net worth,,,,,,,,,,,,
Mean net worth,3.5,3.4,3.7,4.2,5,2.6,,,,,,
Median net worth,5.3,4.4,5.1,4.2,3.4,1.5,,,,,,
,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,
Assets,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),6.3,6.9,5.6,7.4,6.4,3.5,,,,,,
Value of offset accounts,28.5,24.5,20.6,13.3,7.2,6.3,,,,,,
Value of shares (excl. own incorporated business),31.4,12.9,13,13.1,17.8,11.5,,,,,,
Value of public unit trusts,28.8,38,30.4,36.6,20.3,16.7,,,,,,
Value of private trusts,38.8,43.6,29.7,32.2,21.6,17.5,,,,,,
Value of own incorporated business (net of liabilities),np,np,39.5,np,19.7,19.7,,,,,,
Value of own unincorporated business (net of liabilities),27.4,27.4,35.9,27.9,np,33.9,,,,,,
Total value of superannuation funds ,8.1,4.7,3.6,4.2,3.9,2.5,,,,,,
Total financial assets(a),6.6,4.1,3.9,6.2,7.6,4.3,,,,,,
,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,
Property assets,,,,,,,,,,,,
Value of owner occupied dwelling,3.5,3.8,3.3,2.9,3.1,1.7,,,,,,
Value of other property,8.5,12.7,10.1,6.6,6.6,4.1,,,,,,
Total property assets,3.5,4.5,4.1,3.4,3.4,2,,,,,,
Value of contents of dwelling,3.3,3,3.4,3.2,3.1,1.5,,,,,,
Value of vehicles,4.3,4.4,3.3,2.9,3.1,1.7,,,,,,
Total non-financial assets(b),3.2,4,3.6,3,3.1,1.8,,,,,,
,,,,,,,,,,,,
Total assets,3.6,3.3,3.3,3.3,4.3,2.3,,,,,,
,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,
Property loans,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,11.9,9,5.2,3.8,4,2.4,,,,,,
Principal outstanding on other property loans,16.3,16.4,11.9,8.2,5.8,4.4,,,,,,
Total property loans,10.9,8.6,5.3,4,3.6,2.2,,,,,,
,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,
Debt outstanding on study loans,14.2,10.4,7.9,7.1,7.7,3.7,,,,,,
Amount owing on credit cards,8.9,8.4,10.3,10.7,6.8,4,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),17.8,11.3,8.3,7.8,6.5,3.8,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),40.8,43.3,38,29.7,17.9,12.8,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),41.4,21,35.6,16.2,21,12,,,,,,
,,,,,,,,,,,,
Total liabilities,9.4,7.9,4.8,3.8,3.6,2.2,,,,,,
,,,,,,,,,,,,
Net worth of household,3.5,3.4,3.7,4.2,5,2.6,,,,,,
,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,
Selected net values ©,,,,,,,,,,,,
Net value owner occupied dwelling,3.3,3.7,4.1,3.8,3.9,1.9,,,,,,
Net value other property,9.4,15.9,12.5,9.9,9.6,5.3,,,,,,
Net value total property,3.3,4.9,4.8,4.7,4.4,2.2,,,,,,
Net value vehicles,4.2,4.5,3.5,3.7,3.7,1.9,,,,,,
,,,,,,,,,,,,
np  not published,,,,,,,,,,,,
"(a) Includes the value of debentures and bonds, silent partnerships, other financial investments and loans to persons not in the same household",,,,,,,,,,,,
(b) Includes value of assets nec,,,,,,,,,,,,
(c) Selected net values are the asset value net of associated loans,,,,,,,,,,,,
,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,
