            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 3.6 PERSONS IN LOW ECONOMIC RESOURCE HOUSEHOLDS, Selected characteristics",,,,,,,,,,,
,,Lowest income quintile(a),Lowest wealth quintile(b),Low economic resource(c) ,All households,,,,,,
Government pensions and allowances ,% ,47,33.2,37.6,17.2,,,,,,
Other income ,% ,9.1,3.8,3.8,8.9,,,,,,
Total,% ,100,100,100,100,,,,,,
,,,,,,,,,,,
Labour force status,,,,,,,,,,,
2 or more employed persons,%,21.8,41.5,33.4,55.8,,,,,,
1 employed person,%,34,31.3,36.3,25.1,,,,,,
No employed person but at least 1 unemployed person,%,7.6,6,6,2.1,,,,,,
No persons in the labour force,%,36.6,21.3,24.3,17,,,,,,
Total,%,100,100,100,100,,,,,,
,,,,,,,,,,,
Tenure and landlord type ,,,,,,,,,,,
Owner without a mortgage,%,22,0.2,5,23.6,,,,,,
Owner with a mortgage,%,30.3,10.9,25.8,44.6,,,,,,
Renter,,,,,,,,,,,
State/territory housing authority,%,6.4,9.3,8.2,2.1,,,,,,
Private landlord,%,36.4,71.9,53.4,25.6,,,,,,
Other landlord type,%,3.1,4.4,4.4,2,,,,,,
Total renters,%,45.9,85.7,66,29.6,,,,,,
Other tenure type,%,1.8,3.2,3.2,2.2,,,,,,
Total,%,100,100,100,100,,,,,,
,,,,,,,,,,,
Family composition of household,,,,,,,,,,,
One family households,,,,,,,,,,,
"Couple family with dependent children, reference person aged ",,,,,,,,,,,
15–44,%,25.3,27.6,34,24.7,,,,,,
45 and over,%,14.2,6.2,11.6,17.6,,,,,,
Total,%,39.4,33.8,45.6,42.3,,,,,,
"One parent family with dependent children, reference person aged",,,,,,,,,,,
15–44,%,10.1,13.3,12,4,,,,,,
45 and over,%,6.2,4.7,6.3,3.3,,,,,,
Total,%,16.2,18,18.3,7.2,,,,,,
"Couple only, reference person aged ",,,,,,,,,,,
15–44,%,2.6,9.1,3.5,5.9,,,,,,
45–64,%,4,1.4,2.1,6.3,,,,,,
65 and over,%,9.9,2.1,3.7,8.4,,,,,,
Total ,%,16.6,12.5,9.3,20.6,,,,,,
"Other one family households, reference person aged",,,,,,,,,,,
15–44,%,2.1,7,3.2,2.5,,,,,,
45 and over,%,5.8,3.9,4.6,10,,,,,,
Total,%,7.8,11,7.8,12.6,,,,,,
Multiple family households,%,4,6.3,5.4,4.8,,,,,,
Non-family households,,,,,,,,,,,
Lone person aged,,,,,,,,,,,
15–24,%,0.4,0.9,0.5,0.3,,,,,,
25–44,%,1.6,3.7,2.3,2.2,,,,,,
45–64,%,4.6,3.3,3.5,3.1,,,,,,
65 and over,%,7.7,3.4,4,4.3,,,,,,
Total,%,14.3,11.3,10.4,9.9,,,,,,
Group households,%,1.5,7.2,3.2,2.7,,,,,,
Total,%,100,100,100,100,,,,,,
,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,
(a) Persons in the lowest quintile of equivalised disposable household income (incl. imputed rent),,,,,,,,,,,
(b) Persons in the lowest quintile of equivalised household net worth,,,,,,,,,,,
(c) Persons in the lowest two quintiles of both equivalised disposable household income (incl. imputed rent) and equivalised household net worth,,,,,,,,,,,
(d) Imputed rent excludes government subsidised housing which is treated as a social transfer in kind,,,,,,,,,,,
(e) Includes all persons in the household,,,,,,,,,,,
,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 3.6 PERSONS IN LOW ECONOMIC RESOURCE HOUSEHOLDS, Selected characteristics – Relative standard errors (RSE) and Margin of error of proportion (±)",,,,,,,,,,,
,,Lowest income quintile(a),Lowest wealth quintile(b),Low economic resource(c) ,All households,,,,,,
RELATIVE STANDARD ERROR OF HOUSEHOLD CHARACTERISTICS (%),,,,,,,,,,,
Mean weekly household income ,,,,,,,,,,,
Equivalised disposable household income ,RSE(%),1.4,1.7,1.1,0.9,,,,,,
Equivalised disposable household income incl. imputed rent (d),RSE(%),1.2,1.6,1,0.9,,,,,,
,,,,,,,,,,,
Mean equivalised net worth ,RSE(%),4.3,3,3,2.6,,,,,,
,,,,,,,,,,,
Average age of reference person ,RSE(%),0.9,0.9,0.8,0.2,,,,,,
,,,,,,,,,,,
Average number in household,,,,,,,,,,,
Employed persons,RSE(%),3.4,2.8,2.6,0.3,,,,,,
Dependent children,RSE(%),4,3.7,2.9,0.5,,,,,,
Persons,,,,,,,,,,,
Under 18 years,RSE(%),4,3.7,3.1,0.4,,,,,,
18–64 years,RSE(%),2.3,1.9,1.8,0.2,,,,,,
65 years and over,,,,,,,,,,,
65–74 years,RSE(%),4.7,7.2,6.3,0.2,,,,,,
75 years and over,RSE(%),5.2,9.4,7.1,0.1,,,,,,
Total 65 years and over,RSE(%),3.6,5.4,4.5,0.1,,,,,,
Total ,RSE(%),1.6,1.5,1.4,0,,,,,,
,,,,,,,,,,,
Estimated number in population ,,,,,,,,,,,
Households ,RSE(%),2,2,2.1,0,,,,,,
Persons ,RSE(%),2.6,2.8,2.4,0,,,,,,
,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±) OF PERSONS IN HOUSEHOLDS WITH CHARACTERISTICS (e),,,,,,,,,,,
,,Lowest income quintile(a),Lowest wealth quintile(b),Low economic resource(c) ,All persons,,,,,,
Main source of household income ,,,,,,,,,,,
Zero or negative income,MOE(±),0.7,0.4,0.4,0.1,,,,,,
Employee income,MOE(±),3.7,3.6,2.7,1,,,,,,
Own unincorporated business income ,MOE(±),1.1,0.8,1.1,0.4,,,,,,
Government pensions and allowances ,MOE(±),2.8,3.4,2.8,0.9,,,,,,
Other income ,MOE(±),1.5,1.1,1,0.5,,,,,,
Total,MOE(±),0,0,0,0,,,,,,
,,,,,,,,,,,
Labour force status,,,,,,,,,,,
2 or more employed persons,MOE(±),3.7,4.4,3.7,0.9,,,,,,
1 employed person,MOE(±),3.3,3.2,3.1,1,,,,,,
No employed person but at least 1 unemployed person,MOE(±),1.5,1.5,1.4,0.4,,,,,,
No persons in the labour force,MOE(±),1.9,2.2,1.9,0.5,,,,,,
Total,MOE(±),0,0,0,0,,,,,,
,,,,,,,,,,,
Tenure and landlord type ,,,,,,,,,,,
Owner without a mortgage,MOE(±),2.1,np,1.5,0.8,,,,,,
Owner with a mortgage,MOE(±),3.6,2.5,3.5,1.2,,,,,,
Renter,,,,,,,,,,,
State/territory housing authority,MOE(±),1.3,1.6,1.4,0.3,,,,,,
Private landlord,MOE(±),3.4,2.4,3.8,1.3,,,,,,
Other landlord type,MOE(±),0.7,0.8,0.8,0.5,,,,,,
Total renters,MOE(±),3.4,0,3.2,1.2,,,,,,
Other tenure type,MOE(±),0.9,1.2,1.1,0.4,,,,,,
Total,MOE(±),0,0,0,0,,,,,,
,,,,,,,,,,,
Family composition of household,,,,,,,,,,,
One family households,,,,,,,,,,,
"Couple family with dependent children, reference person aged ",,,,,,,,,,,
15–44,MOE(±),3.2,2.9,3.7,0.9,,,,,,
45 and over,MOE(±),2.9,2.3,2.7,1,,,,,,
Total,MOE(±),3.6,3.1,3.8,1.1,,,,,,
"One parent family with dependent children, reference person aged",,,,,,,,,,,
15–44,MOE(±),1.8,1.6,2,0.4,,,,,,
45 and over,MOE(±),1.9,1.4,1.5,0.5,,,,,,
Total,MOE(±),2.5,2,1.9,0.5,,,,,,
"Couple only, reference person aged ",,,,,,,,,,,
15–44,MOE(±),0.7,1.3,0.8,0.4,,,,,,
45–64,MOE(±),0.9,0.5,0.5,0.3,,,,,,
65 and over,MOE(±),1.2,0.5,0.7,0.3,,,,,,
Total ,MOE(±),1.6,1.3,1.2,0.4,,,,,,
"Other one family households, reference person aged",,,,,,,,,,,
15–44,MOE(±),0.9,1.9,1.2,0.4,,,,,,
45 and over,MOE(±),1.3,0.9,0.9,0.6,,,,,,
Total,MOE(±),1.4,2,1.3,0.7,,,,,,
Multiple family households,MOE(±),2,2.6,2.4,0.8,,,,,,
Non-family households,,,,,,,,,,,
Lone person aged,,,,,,,,,,,
15–24,MOE(±),0.2,0.3,0.2,0.1,,,,,,
25–44,MOE(±),0.3,0.5,0.4,0.2,,,,,,
45–64,MOE(±),0.4,0.4,0.4,0.2,,,,,,
65 and over,MOE(±),0.7,0.5,0.5,0.2,,,,,,
Total,MOE(±),0.6,0.6,0.7,0,,,,,,
Group households,MOE(±),0.6,1.3,0.8,0.4,,,,,,
Total,MOE(±),0,0,0,0,,,,,,
,,,,,,,,,,,
np  not published,,,,,,,,,,,
(a) Persons in the lowest quintile of equivalised disposable household income (incl. imputed rent),,,,,,,,,,,
(b) Persons in the lowest quintile of equivalised household net worth,,,,,,,,,,,
(c) Persons in the lowest two quintiles of both equivalised disposable household income (incl. imputed rent) and equivalised household net worth,,,,,,,,,,,
(d) Imputed rent excludes government subsidised housing which is treated as a social transfer in kind,,,,,,,,,,,
(e) Includes all persons in the household,,,,,,,,,,,
,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,
