            Australian Bureau of Statistics,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,
"Table 13.10  GROSS HOUSEHOLD INCOME, States and territories, Rest of state(a)",,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(b),,,
   30th (P30),RSE(%),4.3,5.3,4.1,3.9,5.2,4.3,1.7,,,
   40th (P40),RSE(%),5,4.3,4.7,5.3,6,4.5,1.8,,,
   50th (P50),RSE(%),4.7,6.7,4.5,6.3,6.5,4,2.2,,,
   60th (P60),RSE(%),4.3,4.6,3.5,7.2,4.4,4.8,1.9,,,
   70th (P70),RSE(%),5.9,5.2,5,5.9,5.1,4.7,2.1,,,
   80th (P80),RSE(%),4.9,4.1,4.7,4.5,5.5,5.3,2.4,,,
   90th (P90),RSE(%),4.6,3.9,3.9,5.5,4.7,7.5,2.3,,,
,,,,,,,,,,,
Income share,,,,,,,,,,,
   Lowest quintile,RSE(%),4.8,7.7,5,7.4,5.5,6.2,2.5,,,
   Second quintile,RSE(%),4,3.9,3.5,4.3,3.9,5.1,1.6,,,
   Third quintile,RSE(%),2.9,3.5,3.1,4,4.2,3.9,1.5,,,
   Fourth quintile,RSE(%),2.3,2.4,2.7,3.6,3.2,2.3,1.4,,,
   Highest quintile,RSE(%),2.4,3,2.5,3.6,3.4,3.2,1.3,,,
   All households,RSE(%),0,0,0,0,0,0,0,,,
   Adjusted lowest income quintile(c) ,RSE(%),4.2,5.5,4,5.1,4.8,5.2,2.2,,,
,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,
   P90/P10,RSE(%),2.8,5.8,6.3,8,9.9,11.7,2.1,,,
   P80/P20,RSE(%),7.7,6.7,6.7,6.3,8.1,6.1,3.3,,,
   P80/P50,RSE(%),7.7,4.6,9,6.4,4.6,6.2,2.2,,,
   P20/P50,RSE(%),5.9,5.6,7.3,5.6,6.9,4.9,3.2,,,
   P10/P50,RSE(%),7.3,5.3,7.3,7.5,7.6,4.6,2.3,,,
,,,,,,,,,,,
Gini coefficient,RSE(%),2.7,3.4,2.9,4.1,3.7,4.2,1.4,,,
,,,,,,,,,,,
(a) Estimates compiled based on Rest of State quintile boundaries,,,,,,,,,,,
(b) Includes NT households. NT estimates are not shown separately since estimates for the NT other than Darwin are not considered reliable. Does not include ACT. See Methodology for more information,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,
,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,
