            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 6.3  HOUSEHOLD CHARACTERISTICS, Gross income quintiles",,,,,,,,,,,,,,,,,,,,
,,GROSS HOUSEHOLD INCOME QUINTILE,,,,,All households,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),2.2,2.6,2.5,1.6,2.2,1,,,,,,,,,,,,,
1% to less than 20%,MOE(±),0.7,1.4,2.1,2,1.7,0.7,,,,,,,,,,,,,
20% to less than 50%,MOE(±),1,1.5,1.9,1.8,0.7,0.7,,,,,,,,,,,,,
50% to less than 90%,MOE(±),1.5,1.5,1.4,0.6,np,0.6,,,,,,,,,,,,,
90% and over,MOE(±),2.1,1.8,0.7,np,0,0.6,,,,,,,,,,,,,
Total(a),MOE(±),0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),2,2.3,1.8,1.9,1.7,0.8,,,,,,,,,,,,,
Owner with a mortgage,MOE(±),1.7,2,2.5,2.2,2.5,0.9,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),1.3,0.8,0.4,0.4,np,0.3,,,,,,,,,,,,,
Private landlord,MOE(±),2,2.4,3.4,2.3,2.1,1,,,,,,,,,,,,,
Other landlord type,MOE(±),1.1,0.7,0.7,1,0.9,0.4,,,,,,,,,,,,,
Total renters,MOE(±),2.5,2.6,3.3,2.3,2.3,1,,,,,,,,,,,,,
Other tenure type,MOE(±),1.1,0.8,0.6,0.7,0.5,0.4,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,MOE(±),1.2,1.5,2.2,3,2.2,0.6,,,,,,,,,,,,,
One parent family with dependent children,MOE(±),1.3,1.5,1.5,1.1,0.6,0.4,,,,,,,,,,,,,
Couple only,MOE(±),1.7,1.8,1.7,2.1,1.7,0.5,,,,,,,,,,,,,
Other one family households,MOE(±),0.9,1.3,1.7,1.9,1.4,0.6,,,,,,,,,,,,,
Multiple family households,MOE(±),np,np,0.8,1.4,1.4,0.4,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,
Lone person,MOE(±),1.2,2.1,1.9,1.1,1.1,0,,,,,,,,,,,,,
Group households,MOE(±),0.6,0.9,1,1.1,1.1,0.4,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,RSE(%),0.7,0.8,1,0.8,0.6,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,
Employed persons,RSE(%),5.7,2.3,1.2,1.2,0.9,0.3,,,,,,,,,,,,,
Dependent children,RSE(%),8.3,6.3,4.3,3.7,2.7,0.5,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),8.6,6.6,4.2,3.6,3.1,0.4,,,,,,,,,,,,,
18–64 years,RSE(%),2.9,1.9,1.5,1.4,1.2,0.2,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,
65–74 years,RSE(%),3.1,4.2,6.7,8.4,9.5,0.2,,,,,,,,,,,,,
75 years and over,RSE(%),3,4.3,10.4,14.3,11.3,0.1,,,,,,,,,,,,,
Total 65 years and over,RSE(%),2.1,2.8,6,6.7,7.6,0.1,,,,,,,,,,,,,
Total ,RSE(%),1.4,1.4,1.3,1.4,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,
Households,RSE(%),1.8,2,1.8,1.9,1.9,0,,,,,,,,,,,,,
Persons,RSE(%),2.4,2.6,2.4,2.5,2.1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,
