            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 13.1  EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, States and territories, Total(a)",,,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 13.1  EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, States and territories, Total – Relative standard errors (RSE)(a)",,,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,
Mean income per week,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,RSE(%),3.3,4,3.2,3.6,3.8,5.3,6.8,7.4,1.6,,,,,,,,,,,
   Second quintile,RSE(%),1.7,2.1,3.8,2.2,2.9,3.9,6.7,7.3,1.1,,,,,,,,,,,
   Third quintile,RSE(%),2,1.7,3.8,4.2,3.9,3.4,5.8,4.7,0.9,,,,,,,,,,,
   Fourth quintile,RSE(%),2.7,2,2.7,4.2,2.9,5.8,4.9,4,0.9,,,,,,,,,,,
   Highest quintile,RSE(%),3,3.5,3.4,3.9,5.2,4.9,5.8,5,1.6,,,,,,,,,,,
   All persons,RSE(%),1.5,1.7,1.9,1.9,3,2.8,3.1,2.3,0.9,,,,,,,,,,,
   Adjusted lowest income quintile(c) ,RSE(%),3.4,3.7,2.8,3.6,3.6,5.1,7,6.6,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,
   10th (P10),RSE(%),2.5,3.2,2.3,2.9,1.8,5.2,6,8.3,1,,,,,,,,,,,
   20th (P20),RSE(%),2.5,3,2.4,1.8,3.3,2.1,4.8,4.4,1,,,,,,,,,,,
   30th (P30),RSE(%),1.9,1.8,2.7,2.3,2.2,2.8,6.7,2.2,0.9,,,,,,,,,,,
   40th (P40),RSE(%),1.6,1.9,1.7,2.1,2.7,2.9,4.3,3.2,0.8,,,,,,,,,,,
   50th (P50),RSE(%),1.8,1.2,2.4,2.3,3,2.2,4.5,3,0.8,,,,,,,,,,,
   60th (P60),RSE(%),1.3,1.5,2.6,1.7,3.4,3.3,3.8,2.5,0.9,,,,,,,,,,,
   70th (P70),RSE(%),1.9,1.5,2.1,1.8,2.2,3.7,3.3,2.7,1.1,,,,,,,,,,,
   80th (P80),RSE(%),1.8,1.3,2.9,2.4,4.4,4.1,3.6,2.3,1.1,,,,,,,,,,,
   90th (P90),RSE(%),1.3,2.7,3.7,4.1,3.1,3.5,4.5,3.6,1.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Income share,,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,RSE(%),2.9,4,2.6,3.7,3.8,4,5.7,6.7,1.5,,,,,,,,,,,
   Second quintile,RSE(%),1.7,2.3,2.3,1.9,2.4,2.4,3.9,2.2,1,,,,,,,,,,,
   Third quintile,RSE(%),1.4,1.7,2,1.7,2.3,1.7,2.3,1.8,0.7,,,,,,,,,,,
   Fourth quintile,RSE(%),1.2,1.4,1.4,1.4,1.9,1.7,1.7,1.7,0.5,,,,,,,,,,,
   Highest quintile,RSE(%),1.6,2.1,2.2,2.2,2.7,2,3,2.7,0.8,,,,,,,,,,,
   All persons,RSE(%),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
   Adjusted lowest income quintile(c) ,RSE(%),2.8,3.8,2.5,3.4,3.6,3.6,5.1,5.5,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,,,,,,,,,,,
   P90/P10,RSE(%),3.6,3.2,3.1,5,1.3,5,5.6,10.6,1.7,,,,,,,,,,,
   P80/P20,RSE(%),3.3,2.5,5.5,3.6,5.7,4,9.6,4.2,1.5,,,,,,,,,,,
   P80/P50,RSE(%),2.4,2.1,5.2,1.8,5.2,1.7,4.9,1.8,1.2,,,,,,,,,,,
   P20/P50,RSE(%),3.2,2.7,2.3,3.3,4.4,3.2,9.6,4.6,0.9,,,,,,,,,,,
   P10/P50,RSE(%),3.8,3.3,2.2,4.2,4.4,3.3,5.7,10.1,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gini coefficient,RSE(%),2.3,3.1,2.7,3.1,3.7,3.3,4.6,4.6,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(a) Estimates compiled based on State and Territory quintile boundaries,,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT",,,,,,,,,,,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
