             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.1  INCOME DISTRIBUTION, Age of reference person",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),461,485,490,482,464,431,466,447,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),575,660,635,672,618,516,488,498,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),711,778,746,812,782,567,523,541,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),793,904,855,937,925,649,553,595,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),924,1028,985,1076,1064,740,592,679,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),1037,1202,1126,1216,1196,829,675,779,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),1149,1381,1286,1372,1408,979,805,902,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),1255,1593,1500,1596,1670,1186,956,1109,1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),1535,1918,1843,2010,2175,1642,1253,1511,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.1  INCOME DISTRIBUTION, Age of reference person – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,6.2,2.9,2.5,2.6,3.5,4.5,7.2,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances(a),5.3,2.7,2.3,2.4,3.2,2.9,3.2,2.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,16.9,7.8,6.6,6.2,5.3,3.2,2.5,2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,4.7,2.1,1.9,2,2.8,2.5,2.8,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,4.6,2.2,1.9,2.1,2.8,2.4,2.6,1.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,7.5,2,2.3,3,3,8.4,17.6,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances(a),np,np,np,np,np,7.5,0,0,np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,5.4,2.7,2.1,2.1,2.8,2.5,1.1,1.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,5.9,2.3,1.8,2.4,2.2,2.5,1.1,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,6,2.9,2.4,2.7,3,2.3,1.5,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rent(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy(c),19.3,14.7,6.8,5,3.5,4.4,3.7,3.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market rent(d),11.9,3.7,3.1,2.9,2.5,3.3,2.7,2.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing costs(e) ,4,1.4,1.7,1.9,2,1.9,1.8,1.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),13.2,4.4,4,4.7,5.4,3.6,2.6,2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),9.6,2.3,2.6,2.9,3.6,1.6,0.8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),5.5,2.5,2,2.9,2.6,1.9,0.4,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),6.6,2.3,2.5,2,2.4,2.3,1,1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),6,2.9,2.4,2.7,3,2.3,1.5,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),4.5,2.5,2,2.4,2.4,2.9,3,1.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),4.1,2.1,1.9,1.6,2.4,3,2.6,2.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),5.5,2.1,1.8,2.4,2.6,3.3,4.1,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),6.3,2,2.1,2.5,3.1,4.6,5.3,4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
