            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,
"Table 1.4  HOUSEHOLD CHARACTERISTICS, Australia, 2007–08 to 2019–20",,,,,,,,,,,,,,,,,,,,,,
,,2007–08,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,
Owner with a mortgage,%,35.1,36.2,36.6,35.8,37.1,36.7,36.8,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,%,4.5,3.9,3.9,3.6,3.5,3.1,2.9,,,,,,,,,,,,,,
Private landlord,%,23.9,23.7,25.1,25.7,25.3,27.1,26.2,,,,,,,,,,,,,,
Other landlord type,%,1.3,1.1,1.3,1.8,1.5,1.8,2.3,,,,,,,,,,,,,,
Total renters,%,29.7,28.7,30.3,31,30.3,32,31.4,,,,,,,,,,,,,,
Other tenure type,%,2,2.5,2.3,1.8,2.2,1.8,2.4,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,%,26.4,26.3,26.2,26.4,27.5,27.4,26.4,,,,,,,,,,,,,,
One parent family with dependent children,%,6.2,6.4,5.8,6,5.7,5.3,6.1,,,,,,,,,,,,,,
Couple only,%,26.5,26.2,25.8,25.8,25.6,25.7,26.3,,,,,,,,,,,,,,
Other one family households,%,11.6,11.7,12.6,12.1,11.9,12.3,10.8,,,,,,,,,,,,,,
Multiple family households,%,1.4,1.7,1.7,2.3,1.8,2,2.3,,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,,
Lone person,%,24.8,24.5,24.5,24.4,24.5,24.6,25.2,,,,,,,,,,,,,,
Group households,%,3.2,3.3,3.3,3,3,2.7,2.8,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,,
Employed persons,no.,1.3,1.3,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,,,,,
Dependent children,no.,0.6,0.6,0.6,0.6,0.7,0.6,0.6,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,
Under 18 years,no.,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,
18 to 64 years,no.,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,,
65 to 74 years,no.,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,
75 years and over,no.,0.1,0.1,0.1,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,
Total 65 years and over,no.,0.3,0.3,0.3,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,
Total ,no.,2.6,2.6,2.6,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,,
Households (b) ,,,,,,,,,,,,,,,,,,,,,,
Greater Capital City Area,'000,5101.9,5330.3,5447.7,5750.6,5834.3,6046.8,6511.2,,,,,,,,,,,,,,
Rest of state,'000,2975.4,3068.2,3182.8,3015.9,3128.5,3226.2,3223.4,,,,,,,,,,,,,,
Total,'000,8077.3,8398.5,8630.4,8766.4,8963.3,9270.4,9732.4,,,,,,,,,,,,,,
Persons,'000,20643.1,21589.4,22189,22679.3,23294.1,24058.6,24909.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,9345,18071,14569,14162,17768,14060,15011,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,
(b) Estimates from 2007–08 to 2011–12 use the Australian Standard Geographical Classification (ASGC). Estimates from 2013–14 onwards use the Australian Statistical Geography Standard (ASGS) and are not directly comparable with estimates for previous cycles,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,
"Table 1.4  HOUSEHOLD CHARACTERISTICS, Australia, 2007–08 to 2019–20 – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,
,,2007–08,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),0.2,0.1,0.1,0.2,0.1,0.1,0.2,,,,,,,,,,,,,,
Employee income,MOE(±),1.1,0.7,1,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,
Own unincorporated business income,MOE(±),0.5,0.4,0.5,0.5,0.5,0.6,0.4,,,,,,,,,,,,,,
Government pensions and allowances,MOE(±),1,0.6,0.8,0.7,0.5,0.8,0.8,,,,,,,,,,,,,,
Other income,MOE(±),0.6,0.5,0.6,0.6,0.5,0.7,0.6,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),0.8,0.7,0.8,0.6,0.8,0.5,0.6,,,,,,,,,,,,,,
1 employed person,MOE(±),1.1,0.9,0.9,0.8,0.9,0.7,1,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),0.3,0.2,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,
No persons in the labour force,MOE(±),0.8,0.5,0.7,0.6,0.5,0.6,0.6,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),1,0.8,0.9,0.9,0.7,1,1,,,,,,,,,,,,,,
1% to less than 20%,MOE(±),0.9,0.8,0.8,0.7,0.7,0.8,0.7,,,,,,,,,,,,,,
20% to less than 50%,MOE(±),0.8,0.7,0.6,0.6,0.6,0.6,0.7,,,,,,,,,,,,,,
50% to less than 90%,MOE(±),0.6,0.5,0.5,0.6,0.5,0.5,0.6,,,,,,,,,,,,,,
90% and over,MOE(±),0.9,0.6,0.7,0.7,0.6,0.6,0.6,,,,,,,,,,,,,,
Total(a),MOE(±),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),1,0.7,0.7,0.9,0.8,0.9,0.8,,,,,,,,,,,,,,
Owner with a mortgage,MOE(±),1.1,0.9,0.7,1,0.9,1.1,0.9,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),0.6,0.4,0.5,0.5,0.4,0.5,0.3,,,,,,,,,,,,,,
Private landlord,MOE(±),0.9,0.7,0.9,0.9,0.9,0.8,1,,,,,,,,,,,,,,
Other landlord type,MOE(±),0.3,0.3,0.2,0.3,0.3,0.3,0.4,,,,,,,,,,,,,,
Total renters,MOE(±),1.1,0.8,0.8,1,0.9,1,1,,,,,,,,,,,,,,
Other tenure type,MOE(±),0.4,0.4,0.3,0.3,0.3,0.3,0.4,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,MOE(±),0.6,0.7,0.7,0.5,0.4,0.6,0.6,,,,,,,,,,,,,,
One parent family with dependent children,MOE(±),0.4,0.4,0.3,0.3,0.3,0.4,0.4,,,,,,,,,,,,,,
Couple only,MOE(±),0.6,0.6,0.5,0.4,0.4,0.5,0.5,,,,,,,,,,,,,,
Other one family households,MOE(±),0.6,0.6,0.6,0.5,0.6,0.6,0.6,,,,,,,,,,,,,,
Multiple family households,MOE(±),0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,,
Lone person,MOE(±),0.6,0.8,0.7,0,0,0,0,,,,,,,,,,,,,,
Group households,MOE(±),0.5,0.4,0.4,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,,
Employed persons,RSE(%),0.4,0.4,0.4,0.3,0.3,0,0.3,,,,,,,,,,,,,,
Dependent children,RSE(%),0.7,0.6,0.6,0.5,0.4,0.5,0.5,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),0.5,0.5,0.6,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,
18 to 64 years,RSE(%),0.3,0.3,0.4,0.1,0.1,0.2,0.2,,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,,
65 to 74 years,RSE(%),0.3,0.7,0.3,0,0.1,0.1,0.2,,,,,,,,,,,,,,
75 years and over,RSE(%),0.3,0.7,0.3,0,0.1,0.1,0.1,,,,,,,,,,,,,,
Total 65 years and over,RSE(%),0.3,0.4,0.3,0,0.1,0.1,0.1,,,,,,,,,,,,,,
Total ,RSE(%),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,,
Households (b) ,,,,,,,,,,,,,,,,,,,,,,
Greater Capital City Area,RSE(%),0.6,0.5,0.4,0.4,0,0,0.7,,,,,,,,,,,,,,
Rest of state,RSE(%),1,0.6,0.6,0.7,0.1,0.1,1.5,,,,,,,,,,,,,,
Total,RSE(%),0,0,0,0,0,0,0,,,,,,,,,,,,,,
Persons,RSE(%),0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,
(b) Estimates from 2007–08 to 2011–12 use the Australian Standard Geographical Classification (ASGC). Estimates from 2013–14 onwards use the Australian Statistical Geography Standard (ASGS) and are not directly comparable with estimates for previous cycles,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,
