             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.2  HOUSEHOLD ASSETS AND LIABILITIES, Age of reference person",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,
Total financial assets (a),40.8,159.8,281.1,464.8,685.7,786.3,404.1,618.4,445,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,55.5,246.6,447.9,614.7,626.3,619.4,554.1,592.8,502.5,,,,,,,,,,,,,,
Value of other property,17.9,113.1,198.6,239.1,258.6,195.2,142.9,171.2,191.1,,,,,,,,,,,,,,
Total property assets,73,362.5,643.3,854.4,884,812.3,691.9,762.1,694.4,,,,,,,,,,,,,,
Value of contents of dwelling,19.6,42.8,67.9,91.1,94.6,88.3,75.3,82.8,75.2,,,,,,,,,,,,,,
Value of vehicles,14.2,22.9,30.1,33.3,35.6,26.4,11.8,20.1,27.5,,,,,,,,,,,,,,
Total non-financial asset(b),106.6,428.5,741.7,978.9,1017.5,926.9,780.6,865.5,798,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total assets,146.1,586.6,1026.1,1438.7,1707.7,1721.5,1180,1490.2,1245.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,36.7,145.6,205.3,179.3,84.8,17.3,2.4,10.8,114.7,,,,,,,,,,,,,,
Principal outstanding on other property loans,4.1,60.5,106.7,108.3,78.3,19.1,8.1,14.5,68.1,,,,,,,,,,,,,,
Total property loans,40.6,207.6,314.7,287.3,162.3,36.8,10.3,25.6,183.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,
Debt outstanding on study loans,18.5,12.3,5.6,7,6.8,1.5,0.7,1.2,6.3,,,,,,,,,,,,,,
Amount owing on credit cards,0.5,1.9,2.9,3.8,3,1.5,0.3,1,2.4,,,,,,,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),3.8,5.6,5.9,6,3.8,0.6,0.2,0.5,4.1,,,,,,,,,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),0.1,4.4,5.1,9.2,11.9,5.6,0.6,3.7,6.5,,,,,,,,,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),0.9,2.1,2.1,1.8,1.6,0.4,0.6,0.5,1.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,63.5,233.3,336.8,314.8,189.2,46.9,13.2,32.7,203.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Net worth of household,83.8,353.8,692.6,1124.6,1519,1673.8,1167,1457.3,1042,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,,,,,,,,,,,,
Selected net values (c),,,,,,,,,,,,,,,,,,,,,,,
Net value owner occupied dwelling,19.2,100.6,242.6,436.3,542.4,601.2,552,581.6,387.8,,,,,,,,,,,,,,
Net value other property,14.9,52.5,90.4,130.4,180.6,176,134.7,156.8,122.9,,,,,,,,,,,,,,
Net value total property,34,153,329.2,567,724.6,773.8,682.1,737.4,511.6,,,,,,,,,,,,,,
Net value vehicles,10.3,17.2,24,27.6,31.7,25.8,11.5,19.6,23.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,
"(a) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,,,,,,,,,,,,,
(b) Includes value of assets nec,,,,,,,,,,,,,,,,,,,,,,,
(c) Selected net values are the asset value net of associated loans,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,
"Table 10.2  HOUSEHOLD ASSETS AND LIABILITIES, Age of reference person - Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,,,,
,15–24,25–34,35–44,45–54,55–64,65–74,"75 and 
over",Total,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,,,,,,,,
Mean net worth,14.4,4.4,5.7,3.4,4,6.5,5.4,4.7,2.6,,,,,,,,,,,,,,
Median net worth,11.4,6,4.2,3.1,3.9,3.8,4,2.3,1.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),9.8,8.4,6.8,9.5,6.1,7.2,7.8,5.4,3.5,,,,,,,,,,,,,,
Value of offset accounts,42.4,13.6,11.2,12,13.4,33.4,np,29.9,6.3,,,,,,,,,,,,,,
Value of shares (excl. own incorporated business),35.4,24.7,np,19,18.9,14.1,16.8,11.7,11.5,,,,,,,,,,,,,,
Value of public unit trusts,np,np,36,33.4,40.4,23.3,26,17.9,16.7,,,,,,,,,,,,,,
Value of private trusts,np,45.1,29.9,24.4,32.8,37.9,34.6,31.9,17.5,,,,,,,,,,,,,,
Value of own incorporated business (net of liabilities),0,30,30.7,23.1,36,24.9,np,22.8,19.7,,,,,,,,,,,,,,
Value of own unincorporated business (net of liabilities),np,35.5,36.9,23.7,25.1,np,np,np,33.9,,,,,,,,,,,,,,
Value of superannuation account,9.4,4.4,3.3,3.1,4.3,6.9,11.4,5.9,2.5,,,,,,,,,,,,,,
Total financial assets(a),13.6,6.6,7.9,4.2,6.4,11.9,7.8,8.9,4.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,23.5,4.3,4.1,3.6,3,4.2,3.5,3,1.7,,,,,,,,,,,,,,
Value of other property,37,9,11.8,5.9,7.6,7.2,20.8,8.5,4.1,,,,,,,,,,,,,,
Total property assets,20.9,4.1,4.8,3.3,3.6,4.1,6,3.4,2,,,,,,,,,,,,,,
Value of contents of dwelling,7.8,5.4,3.9,3.1,3.7,2.9,3.9,2.1,1.5,,,,,,,,,,,,,,
Value of vehicles,9.4,3.7,3.6,3.3,4.1,4.4,4.5,3.5,1.7,,,,,,,,,,,,,,
Total non-financial assets(b),15.2,3.7,4.3,3,3.3,3.8,5.5,3.1,1.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total assets,11.6,3.6,4.5,3.1,3.9,6.3,5.5,4.6,2.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,23,4.2,4.3,4.3,5.9,14.7,34.9,14,2.4,,,,,,,,,,,,,,
Principal outstanding on other property loans,np,11.3,9.4,8.6,9.6,14.6,29.9,13,4.4,,,,,,,,,,,,,,
Total property loans,22.4,4.9,4.4,3.9,5.9,10.9,25.9,10.4,2.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,
Debt outstanding on study loans,14.3,7.1,9,8.6,8.2,19.6,35.5,20.6,3.7,,,,,,,,,,,,,,
Amount owing on credit cards,np,9.2,7.7,6.4,7.2,18.4,np,18.3,4,,,,,,,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),19.6,10.1,7.3,7.2,7.2,22.4,36.2,18.4,3.8,,,,,,,,,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),np,36.9,33.6,22.4,30.3,38.5,np,35.4,12.8,,,,,,,,,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),43.3,17,35.4,24.7,21.5,np,41.9,40,12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,15.3,4.3,4.2,3.8,5.9,9.4,22.3,8.6,2.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Net worth of household,14.4,4.4,5.7,3.4,4,6.5,5.4,4.7,2.6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,,,,,,,,,,,,
Selected net values (c),,,,,,,,,,,,,,,,,,,,,,,
Net value owner occupied dwelling,40.7,7.4,5.2,4.1,3.1,4.3,3.5,3.1,1.9,,,,,,,,,,,,,,
Net value other property,42.8,14.5,23.5,6.9,8.9,7.4,20.9,8.9,5.3,,,,,,,,,,,,,,
Net value total property,30.3,6.9,7.7,4,3.7,4.2,5.9,3.4,2.2,,,,,,,,,,,,,,
Net value vehicles,11.4,4.4,4.2,3.5,4.5,4.5,4.4,3.6,1.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
np not published,,,,,,,,,,,,,,,,,,,,,,,
"(a) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,,,,,,,,,,,,,
(b) Includes value of assets nec,,,,,,,,,,,,,,,,,,,,,,,
(c) Selected net values are the asset value net of associated loans,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,
