Financial assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),54.6,44.3,89.6,60,55.5,27.7,42.9,58.2,85.8,142.3,95,,112.2,62,68.9,,19,42.1,53.6,91.1,61.1,43.4,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of offset accounts,30.7,32.6,34,21.2,30.6,7.1,17.5,18.2,12.8,2,10.6,,19,4.3,16.7,,0.2,1.4,0.2,0.2,0.5,7.3,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of shares (excl. own incorporated business),11.1,30.2,40,50.1,25.2,5.5,7.5,15.4,32.5,77.5,42.4,,49,21.8,8.7,,2.9,11.6,37.2,43,28.5,5.5,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of public unit trusts,0.7,2.3,0.7,3.2,1.6,0.5,0.1,3.3,3.8,8.3,4.6,,12.3,3.7,0,,0,2,2.8,5.7,3.3,0.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of private trusts,10.8,28.1,52.1,74.5,31,7.8,5.9,13,21.7,65.6,36,,142.3,5.8,85.3,,7.2,17.6,13.6,14.1,13.2,0.8,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of own incorporated business (net of liabilities),37,69.5,38.5,205.1,64.7,23.9,31.7,32.9,73.3,20.2,35.5,,40.7,21.8,73.1,,5.2,21.8,33.2,5.8,14.7,5.8,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of own unincorporated business (net of liabilities),7.1,20.2,44.7,28.9,17.9,1.7,1.2,13.7,50.6,32.8,26.7,,246.7,4.7,16.1,,5.1,15.5,8.9,9.1,9.3,3,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total superannuation,143.1,257.5,419.3,307.3,236.8,91,75.5,247.9,504.7,445.3,346.8,,441.4,128.8,249.7,,34.9,134.1,200.7,141.2,133.7,84.2,229.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total financial assets(c),291.4,480.5,725.1,746.4,467.3,168.1,182.3,421.4,786.9,820,612.8,,1051.2,251,503.6,,74.3,246.2,349.9,316.1,268.9,151.2,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,528.3,682.7,976.5,779.5,665.9,246.6,230.6,453.5,702.3,723.5,568,,719.9,388.5,615.8,,130.6,268.4,359.7,441.4,339.1,167.4,502.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of other property,222.7,292.1,378.8,300.8,278.5,85.7,116.5,216.6,314.7,219.2,218.2,,270.6,108.8,256.5,,46.2,94.5,131.3,113.6,102.4,109.2,191.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total property assets,753.3,969.5,1353.5,1097.5,941.9,327.9,344,670.3,1012.9,943.2,785.8,,994.6,493.3,878.8,,176.7,365.1,485,539.9,435.6,273.9,694.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of contents of dwelling,74.1,104.4,113,114.6,94.4,49.2,40.3,74.1,115,105.6,88.3,,106.6,57.1,93.1,,23.6,46.1,55.9,57.5,49.9,33.3,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of vehicles,34,38.5,49,45.2,38.8,14.3,24.3,34.6,42.3,28.9,31.8,,42.1,16.1,50.4,,12.5,13.2,16.8,9.8,12.4,17.9,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total non-financial assets(d),862.9,1112.5,1515.4,1256.4,1075.4,390.1,407.7,779.8,1172.2,1077.8,906.5,,1144.7,568.4,1024.8,,212.7,425.9,562,607.5,498.4,325.8,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total assets,1137.8,1596.5,2256.3,2002.7,1544.9,550.1,585.6,1191.9,1960.1,1899.8,1519.5,,2212.4,834.6,1528.4,,285.4,678.8,912.6,938.4,771.9,475.3,1245.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,250.2,251.4,210.3,172.5,236,75,152.8,172.7,91.2,11.1,85.4,,102.1,50.8,149.4,,80.9,100.2,45.2,7.6,46.4,42.5,114.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on other property loans,121.1,147.5,158,118.6,134.2,23.9,54.5,95.6,89.1,15.1,53.7,,79.2,37,129.6,,25.7,38,31.8,4.6,20.7,77.3,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total property loans,372.2,403.1,365.6,290.3,372.2,99.3,204.3,267.6,177.9,25.9,137.9,,181,88.9,288,,105.5,138.9,75.9,12.3,67.3,116.2,183.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt outstanding on study loans,5.2,3.5,14.6,21.5,7.7,6.3,14.9,6.4,0.3,0.1,4.3,,13.2,9.3,13.5,,8.2,1.7,0.4,0,1.7,24.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amount owing on credit cards,2.8,4.1,5.1,2.5,3.6,1.7,2,3.6,3.1,1.2,2.2,,3.5,2.7,3.2,,0.7,2.1,1.8,0.7,1.2,2.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),8,7.9,6.8,5.7,7.5,3,5.9,6.5,4.2,0.2,3.3,,5.5,2.9,8.1,,2.3,2.2,2.1,0.2,1.3,2.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),6.8,14.1,15.3,30.4,12.6,1.7,3.4,3.5,4.7,6.1,5.4,,9.9,2.1,6.7,,1,4.1,2.9,0.6,2.2,4.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for other purposes (excl. business and investment loans),1.5,1.3,0.5,0.4,1.3,2,2.2,1.7,1.7,0.7,1.4,,1.4,0.9,10.9,,2,2.1,2.2,0.2,1.2,0.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,395.5,433.7,408.1,348.6,404.6,115.2,231.8,289.5,195.8,34.6,154.6,,215.7,106.1,326.8,,121.8,151.4,85.4,14.5,75.1,149.7,203.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net worth of household,742.5,1167.1,1839.1,1655.6,1142.4,434.2,350.2,898.2,1769.3,1864.1,1364.5,,1992.4,731.7,1189.8,,167.1,525.9,827.8,922.9,696.5,334.2,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other net worth items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected net values(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value owner occupied dwelling,275.2,432.3,763.5,617.6,429.9,171.4,77.9,280.3,614.6,712.1,483.3,,618.4,335.8,472.7,,51.9,167.6,315.3,433.4,292.4,127.1,387.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value other property,103,143.2,220.9,180.8,143.1,59.5,61.5,119.8,225.7,204.6,164.5,,191.7,75.5,117.3,,22.2,56.7,99.3,108.2,81.3,40.6,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value total property,381.5,569.9,981.5,810.5,571.3,227.4,138.8,401.1,842.9,916.8,647.8,,814.5,407.3,593.2,,72.2,228.7,409.7,536,372.8,164.3,511.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net value vehicles,26,30.6,42.8,40,31.4,11.3,18.6,28.4,38.1,28.6,28.5,,36.7,13.5,43.3,,10.1,11,14.9,9.5,11.1,14.9,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Includes the value of debentures and bonds, silent partnerships, other financial investments, loans to persons not in the same household ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) Includes value of assets nec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(e) Selected net values are the asset value net of associated loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.2  HOUSEHOLD ASSETS AND LIABILITIES, Household composition – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household net worth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean net worth,6.7,6.4,7.6,12.6,4.1,11.2,7.4,7.2,4.2,5.8,4.2,,13.2,9.7,9.8,,9.8,8.9,7.3,5,3.9,10.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median net worth,5.4,5.4,5.6,6.9,2.8,12.2,8.5,8.4,3.5,3.2,2.6,,4.7,4.5,14.1,,10.1,10,6.4,3.1,4,19.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean wealth values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of accounts held with financial institutions (excl. offset accounts),16.4,11.6,17.4,12.1,8,14.2,9.3,17.6,9.6,7.6,5.9,,10.6,9.1,20.2,,14.6,16.9,12,7.4,6.1,13.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of offset accounts,14.4,12.5,25.3,28.8,8.9,39.6,20.4,22.3,14.6,37.9,10.8,,21.9,16.7,35.2,,np,36.6,np,np,38.8,46.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of shares (excl. own incorporated business),24,np,38.9,46.6,32.4,34.7,31,39.4,27.8,14.7,12.6,,31.9,26.2,np,,35.4,22.5,41.7,15.9,16,38.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of public unit trusts,45.3,31.8,np,np,36.5,np,43.1,46.4,36.3,26.1,22.6,,np,np,0,,0,np,48.8,22,22.1,np,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of private trusts,np,33.5,np,42.4,26.6,np,np,np,36,43.8,34,,46,42.3,np,,np,np,31.5,40.4,26.9,np,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of own incorporated business (net of liabilities),36.4,30.1,34.4,np,29.6,np,46,np,np,35.5,37.3,,np,47,np,,np,np,np,np,33.8,np,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of own unincorporated business (net of liabilities),np,38.8,np,np,24,np,np,42.6,31.1,34.6,21,,np,np,np,,np,np,48,np,38.7,47,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total superannuation,5.5,4.2,7.8,8.1,3,6.8,5.8,5,4,7.4,4.4,,8.5,7.2,11.9,,6.9,6.5,9.4,11.9,6.4,9.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total financial assets(c),7.9,8.4,12.1,23.4,6.1,11.6,10,8.1,6.7,8.3,5.8,,23.9,18.6,15.4,,11,11.9,12.7,7.9,5.5,8.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-financial assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of owner occupied dwelling,5.2,4.5,7.6,6.3,2.9,9,6.6,5.9,4.6,4.9,3.4,,4.2,3.9,8.1,,10.4,7,5.5,3.6,2.8,13.6,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of other property,9.5,15.3,14.4,18,7.3,33.2,16.6,13.3,8.4,9,5.5,,13.5,10.6,15.8,,21.7,22.8,12.9,21.7,11.3,27.9,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total property assets,5.8,6,8.4,6.7,3.4,10.9,6.6,7.3,4.7,4.9,3.5,,5.5,4.9,8.3,,10.8,8.2,5.9,5.9,3.9,15.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of contents of dwelling,6,4.9,7.2,9.3,3.1,7.5,8.7,5.8,4.5,3,2.5,,6.9,4.7,11.1,,7.2,6.4,5.7,3.9,2.6,8.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of vehicles,4.9,4.3,9.7,11.1,3.3,7.3,5.4,6.7,5.2,4.3,2.2,,5.5,4.5,9.8,,10.8,9.1,6.6,6.5,4.1,8.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total non-financial assets(d),5.2,5.3,7.9,6.4,3.1,9.5,6,6.6,4.2,4.5,3.2,,5.1,4.5,7.5,,9.5,7.5,5.4,5.4,3.5,13.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total assets,5.2,5.4,7.4,11.1,3.5,9.1,5.8,6.2,4,5.8,4,,11.9,8.6,8.1,,8.6,7.6,6.9,5,3.6,11.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for owner occupied dwelling,4.3,6.5,11.7,11.7,3.6,12.1,7.4,8.8,9.3,17.3,4.6,,9.8,7.5,14.5,,10.2,7.7,13.3,27.5,5.8,20.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on other property loans,9.7,11.4,20.8,15.8,6.5,29.6,19.7,13.6,9.7,18,7.1,,15.3,11.7,25.8,,29.8,21.3,16.2,49.8,12.4,48.8,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total property loans,4.3,6.5,12.9,9.3,3.2,10.4,7.7,8,7.3,14.3,4.3,,9.9,6.8,13.5,,11.9,7.1,11.2,26.1,5.3,36.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt outstanding on study loans,10.3,10.5,14.1,10.3,5.6,10.7,9,28.6,29.1,40.5,9.1,,10,8.8,17.4,,13.6,22.5,49.7,42.5,11.9,12.5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amount owing on credit cards,10.8,8.7,14.4,40.8,6.5,13.5,20.4,13.3,15.7,27.5,9.4,,12.1,9.6,34.1,,21.8,12.1,14.7,16.7,7.5,17.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on loans for vehicle purchases (excl. business and investment loans),10,9.1,26.9,18.7,6.2,15.2,14.7,11.6,13.6,26.6,7.7,,12.9,8.9,23.7,,13.6,15.1,20.4,np,8.8,21.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal outstanding on investment loans (excl. business and rental property loans),31.9,30.5,35.5,np,20,np,np,np,np,45.7,26.3,,41.6,38.9,np,,np,np,np,np,34.2,np,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
