            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,
"Table 13.2  GROSS HOUSEHOLD INCOME, States and territories, Total(a)",,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,
"Table 13.2  GROSS HOUSEHOLD INCOME, States and territories, Total – Relative standard errors (RSE)(a)",,,,,,,,,,,,,,,,,,,,
,,NSW,Vic.,Qld,SA,WA,Tas.,NT(b),ACT,Aust.,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,
Mean income per week,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,RSE(%),3.3,3.3,4.1,4.2,3.9,5,8.8,11.1,1.9,,,,,,,,,,
   Second quintile,RSE(%),2.7,2.8,2.8,2.9,4,3.4,7.2,4.5,1.3,,,,,,,,,,
   Third quintile,RSE(%),2.1,1.8,2.6,2.8,3.5,2.7,5.2,3.8,0.9,,,,,,,,,,
   Fourth quintile,RSE(%),1.7,1.8,2.5,2.3,3.5,4.2,5.5,3.4,0.9,,,,,,,,,,
   Highest quintile,RSE(%),3.1,3.8,4,4.4,6.7,5.5,6,5.3,1.8,,,,,,,,,,
   All households,RSE(%),1.7,2,2.4,2.4,3.8,3.1,3.5,2.6,1.1,,,,,,,,,,
   Adjusted lowest income quintile(c) ,RSE(%),2.4,2.9,3.9,4.5,3.6,4.5,8.8,6.4,1.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income per week at top of selected percentiles,,,,,,,,,,,,,,,,,,,,
   10th (P10),RSE(%),1.5,1.7,2.8,1.5,3.1,0.7,7.2,8.6,1.2,,,,,,,,,,
   20th (P20),RSE(%),1.9,2.2,1.5,3,2.8,5.1,7.4,5.4,0.8,,,,,,,,,,
   30th (P30),RSE(%),2.8,2.2,2.6,2.7,3.7,2.8,5.1,4.4,1.1,,,,,,,,,,
   40th (P40),RSE(%),2.2,2.5,2.8,3,3,2.9,4.2,2.7,1.3,,,,,,,,,,
   50th (P50),RSE(%),1.9,1.9,2.1,2.3,3.6,2.8,5.5,3.1,0.9,,,,,,,,,,
   60th (P60),RSE(%),2.2,1.8,2.5,2.8,2.5,3.8,3.6,3.4,0.9,,,,,,,,,,
   70th (P70),RSE(%),1.9,1.6,3,2.3,3.3,3.8,3.5,2.1,1.1,,,,,,,,,,
   80th (P80),RSE(%),1.5,1.9,3,2.8,3.5,4,4,3.2,0.8,,,,,,,,,,
   90th (P90),RSE(%),2.5,2.3,3.1,2.9,6,3.3,6.8,3,1.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Income share,,,,,,,,,,,,,,,,,,,,
   Lowest quintile,RSE(%),3.3,3.5,3.2,4.3,4.6,5.3,8.1,11.1,1.7,,,,,,,,,,
   Second quintile,RSE(%),2.5,2.8,2.4,3.2,3.7,4.2,3.8,4,1.1,,,,,,,,,,
   Third quintile,RSE(%),1.9,2.1,2.4,2.6,3.2,3,3.2,2.3,1,,,,,,,,,,
   Fourth quintile,RSE(%),1.6,1.6,2.3,1.8,2.9,2.2,2.6,1.6,0.8,,,,,,,,,,
   Highest quintile,RSE(%),1.7,1.9,2.1,2.2,3,2.6,3.3,2.8,0.9,,,,,,,,,,
   All households,RSE(%),0,0,0,0,0,0,0,0,0,,,,,,,,,,
   Adjusted lowest income quintile(c) ,RSE(%),2.8,3.1,2.9,3.7,4.4,4.8,6.9,6.2,1.5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratio of incomes at top of selected income percentiles,,,,,,,,,,,,,,,,,,,,
   P90/P10,RSE(%),2.6,2.7,4.7,3.1,5.7,5.8,13,12.8,2.1,,,,,,,,,,
   P80/P20,RSE(%),2.2,3.6,3,4.7,3.9,8.3,14.3,4.9,0.7,,,,,,,,,,
   P80/P50,RSE(%),1.8,2.5,3.5,4.5,4.2,6.1,10.7,4.7,0.8,,,,,,,,,,
   P20/P50,RSE(%),1.6,2.7,2.2,1.7,4.3,9,8.5,4.7,0.9,,,,,,,,,,
   P10/P50,RSE(%),2.2,1.8,3.4,2.4,4.4,5.7,5.6,11.7,2.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gini coefficient,RSE(%),1.9,2.2,2.1,2.6,3.3,3.1,4.3,4.3,0.9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(a) Estimates compiled based on State and Territory quintile boundaries,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT",,,,,,,,,,,,,,,,,,,,
(c) Lowest income quintile excluding the first and second percentiles. See Methodology for more information,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,
