            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.3  HOUSEHOLDS BY NET WORTH RANGE, 2009–10 to 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NUMBER OF HOUSEHOLDS,,,,,,,PROPORTION OF HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
"$2,400,000 to less than $2,600,000",64.3,63.3,80.1,81.4,116,109.1,,0.8,0.7,0.9,0.9,1.3,1.1,,,,,,,,,,,,,,,,,,
"$2,600,000 to less than $3,000,000",106.9,96.3,107,148.9,146.6,178,,1.3,1.1,1.2,1.7,1.6,1.8,,,,,,,,,,,,,,,,,,
"$3,000,000 to less than $4,000,000",142.8,146.9,161.3,198.4,238.9,224.3,,1.7,1.7,1.8,2.2,2.6,2.3,,,,,,,,,,,,,,,,,,
"$4,000,000 to less than $5,000,000",72.1,75,85.2,104,126.4,144,,0.9,0.9,1,1.2,1.4,1.5,,,,,,,,,,,,,,,,,,
"$5,000,000 to less than $7,000,000",66,72.7,76.5,90.5,126.1,116.3,,0.8,0.8,0.9,1,1.4,1.2,,,,,,,,,,,,,,,,,,
"$7,000,000 to $10,000,000",30.6,39,41.3,46.1,50.7,54.5,,0.4,0.5,0.5,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,
"More than $10,000,000",37.6,28.4,36.9,36.4,58.5,59.9,,0.4,0.3,0.4,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,
All households,8398.5,8630.4,8766.4,8963.3,9270.4,9732.4,,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing data from 2015-16 onwards have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(a) In 2019–20 dollars, adjusted using changes in the Consumer Price Index",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.3 HOUSEHOLDS BY NET WORTH RANGE, 2009–10 to 2019–20 – Relative standard errors (RSE) and Margin of error proportion (±)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NUMBER OF HOUSEHOLDS,,,,,,,PROPORTION OF HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,2009–10,2011–12,2013–14,2015–16,2017–18,2019–20,,,,,,,,,,,,,,,,,,
,RELATIVE STANDARD ERROR (%),,,,,,,95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,,,,
Net worth range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than $0,10.3,8.3,10.6,11.5,10.7,8.8,,0.2,0.2,0.2,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,
"$0 to less than $50,000",3,3.1,3.1,2.6,2.6,3.3,,0.7,0.7,0.7,0.6,0.6,0.7,,,,,,,,,,,,,,,,,,
"$50,000 to less than $100,000",3.3,4.5,3.7,3.9,4.1,4.5,,0.4,0.6,0.5,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,
"$100,000 to less than $150,000",5.3,4.4,4.6,5,4.4,5.5,,0.5,0.4,0.4,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,
"$150,000 to less than $200,000",4.8,5.4,5.2,5.6,6,6.3,,0.3,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$200,000 to less than $250,000",6.5,5.1,5,5.3,6.8,5.6,,0.4,0.4,0.4,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,
"$250,000 to less than $300,000",6.4,5.1,5,6.9,6.1,6,,0.4,0.3,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$300,000 to less than $350,000",5.7,5.4,5.4,5.1,6.4,7.5,,0.4,0.3,0.4,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,
"$350,000 to less than $400,000",5.8,4.5,6.1,5,6.1,6.7,,0.4,0.3,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,
"$400,000 to less than $450,000",5.9,5.1,4.6,5.7,5.9,7.4,,0.4,0.3,0.3,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,
"$450,000 to less than $500,000",5.1,5.7,5.3,5.7,6.7,5.9,,0.4,0.4,0.3,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,
"$500,000 to less than $600,000",3.7,3.8,4.5,3.5,5.1,5.3,,0.5,0.5,0.6,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,
"$600,000 to less than $700,000",3.3,4.2,4.7,4.2,4.6,5,,0.4,0.5,0.5,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,
"$700,000 to less than $800,000",4.8,5.4,5.4,5.5,5.1,5.7,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,
"$800,000 to less than $900,000",4.9,5,4.6,5.2,6.1,5.1,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$900,000 to less than $1,000,000",5.4,6,6.5,5.4,5.6,5,,0.4,0.5,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,000,000 to less than $1,100,000",5.6,6.8,6.4,6,6.8,6.3,,0.3,0.4,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,100,000 to less than $1,200,000",8.5,6.3,5.5,7,6,6.5,,0.4,0.3,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,200,000 to less than $1,400,000",5,5.1,4.5,5.1,4.6,4.7,,0.4,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,400,000 to less than $1,600,000",4.5,6,5.1,5,5.9,6.2,,0.3,0.4,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,600,000 to less than $1,800,000",6.8,6.3,7.6,7.3,7.3,6.9,,0.3,0.3,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,
"$1,800,000 to less than $2,000,000",8.5,8.7,7.9,6.2,9,6.8,,0.3,0.3,0.3,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,
"$2,000,000 to less than $2,200,000",9.2,9,9.4,8.2,6.7,8.5,,0.2,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,
"$2,200,000 to less than $2,400,000",10.8,9.7,8.9,11.1,10.3,8.4,,0.2,0.2,0.2,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,
"$2,400,000 to less than $2,600,000",10.8,10.8,11.5,10.3,9.4,9.4,,0.2,0.1,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
"$2,600,000 to less than $3,000,000",8.2,9.1,8.6,9,10,9.8,,0.2,0.2,0.2,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,
"$3,000,000 to less than $4,000,000",7.5,8.3,6.8,6.2,7.2,6.2,,0.2,0.3,0.2,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,
"$4,000,000 to less than $5,000,000",10.8,10.6,9.8,10.8,10.2,8.5,,0.2,0.2,0.2,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,
"$5,000,000 to less than $7,000,000",11.4,11.1,11.6,13,9.2,12.2,,0.2,0.2,0.2,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,
"$7,000,000 to $10,000,000",16.7,13.3,17.3,18.6,14.1,14.1,,0.1,0.1,0.2,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,
"More than $10,000,000",15.8,20,18.1,17.4,15,16.1,,0.1,0.1,0.1,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,
All households,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
