            Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,
"Table 13.12  HOUSEHOLD CHARACTERISTICS, States and territories, Rest of State ",,,,,,,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(a),,,,,,,,
Other landlord type,%,4.3,1.8,3,2.4,5.9,3.1,3.2,,,,,,,,
Total renters,%,30.6,25.4,33.9,23.9,27.4,31.7,30,,,,,,,,
Other tenure type,%,2.4,2.6,1.9,2.8,4.1,4,2.4,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,
Couple family with dependent children,%,20.2,22.9,21.8,21.2,24.1,18.4,21.3,,,,,,,,
One parent family with dependent children,%,6.9,5.7,7.6,6.3,7.3,7.3,7.1,,,,,,,,
Couple only,%,29.4,29.3,28.2,32.5,33.1,28.7,29.3,,,,,,,,
Other one family households,%,9.4,7.8,10.3,8.2,9.5,7.9,9.2,,,,,,,,
Multiple family households,%,1.5,1.4,3,0.8,0.4,0.5,1.7,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,
Lone person,%,31,29.5,26,31.3,23.6,35,29,,,,,,,,
Group households,%,2.3,1.7,3.4,0.6,1.6,3,2.6,,,,,,,,
Total,%,100,100,100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,,,
Average age of reference person in years,years,56,55,54,56,53,55,55,,,,,,,,
,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,
Employed persons,no.,1.1,1.2,1.2,1,1.2,0.9,1.1,,,,,,,,
Dependent children,no.,0.5,0.6,0.6,0.5,0.6,0.5,0.6,,,,,,,,
Persons,,,,,,,,,,,,,,,,
Under 18 years,no.,0.5,0.6,0.6,0.5,0.6,0.5,0.5,,,,,,,,
18 to 64 years,no.,1.3,1.4,1.5,1.2,1.4,1.2,1.3,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,
65 to 74 years,no.,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,
75 years and over,no.,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,
Total 65 years and over,no.,0.5,0.5,0.4,0.5,0.4,0.5,0.5,,,,,,,,
Total ,no.,2.3,2.4,2.5,2.2,2.5,2.2,2.4,,,,,,,,
,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,
Households,'000,1156,632.1,946.4,150.9,192.4,130.6,3223.4,,,,,,,,
Persons,'000,2692,1530.5,2348.2,341.9,475.4,287,7703.2,,,,,,,,
,,,,,,,,,,,,,,,,
Number of households in sample,no.,973,790,961,1077,1144,640,5724,,,,,,,,
,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,
(a) Includes NT households. NT estimates are not shown separately since estimates for the NT other than Darwin are not considered reliable. Does not include ACT. See Methodology for more information,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,
"Table 13.12  HOUSEHOLD CHARACTERISTICS, States and territories, Rest of State – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,
,,Rest of NSW,Rest of Vic.,Rest of Qld,Rest of SA,Rest of WA,Rest of Tas.,Aust.(a),,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),np,0.9,np,np,0.7,0.9,0.3,,,,,,,,
Employee income,MOE(±),4.1,7.1,4.3,6.7,5.2,3.2,2.2,,,,,,,,
Own unincorporated business income,MOE(±),1.4,2.8,1.4,1.9,2.2,2.1,0.8,,,,,,,,
Government pensions and allowances,MOE(±),3.4,3.2,3.5,4.5,3.7,4.8,1.6,,,,,,,,
Other income,MOE(±),2.5,2.9,1.9,2.9,2,3.6,1.1,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),4.2,6.3,3.3,5.7,5.5,4.3,2.1,,,,,,,,
1 employed person,MOE(±),3.3,3.8,2.9,3.8,4.1,4.5,1.7,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),1.1,0.9,1.2,1.5,1.9,1.9,0.5,,,,,,,,
No persons in the labour force,MOE(±),2.9,2.4,3.3,4.9,4.1,3.5,1.1,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),3.7,6.1,3.2,6.1,4.8,5.1,1.9,,,,,,,,
1% to less than 20%,MOE(±),3,3.4,2.5,2.7,3.2,2.5,1.4,,,,,,,,
20% to less than 50%,MOE(±),1.9,2.3,2.9,2.1,2.7,3.7,1.2,,,,,,,,
50% to less than 90%,MOE(±),2.4,2.4,2.2,2.7,1.9,3.4,1.2,,,,,,,,
90% and over,MOE(±),3.1,3.4,3,3.5,3.2,4,1.3,,,,,,,,
Total(b),MOE(±),0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),3.3,3.7,3.9,4.1,2.8,4.7,2,,,,,,,,
Owner with a mortgage,MOE(±),3,5.5,4.1,6.2,4.8,4.4,1.8,,,,,,,,
Renter,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),1.3,1.7,1.3,2.7,1.7,3.2,0.6,,,,,,,,
Private landlord,MOE(±),3.3,3.4,4.3,2.7,3.7,5.4,2.2,,,,,,,,
Other landlord type,MOE(±),2.1,1,2,1.6,2.7,2.2,0.9,,,,,,,,
Total renters,MOE(±),3.5,3.3,4.9,3.5,3.9,5.8,2.3,,,,,,,,
Other tenure type,MOE(±),1.3,1.5,1.1,1.1,2.1,2.2,0.7,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,
Couple family with dependent children,MOE(±),3,4.8,3.7,4.5,4.1,3.6,1.6,,,,,,,,
One parent family with dependent children,MOE(±),1.6,2.1,1.8,2.7,3.2,1.9,0.9,,,,,,,,
Couple only,MOE(±),2.4,3.3,2.9,3.3,4.6,3.9,1.1,,,,,,,,
Other one family households,MOE(±),1.9,2.7,2.8,2.2,2.4,3,1.2,,,,,,,,
Multiple family households,MOE(±),1.1,np,1.7,0.7,np,np,0.6,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,
Lone person,MOE(±),1.9,1.7,2.5,4.4,3.5,1.4,0.9,,,,,,,,
Group households,MOE(±),1.2,1.2,1.6,np,np,1.6,0.7,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,
Average age of reference person in years,RSE(%),1.1,1.6,1.3,1.5,1.5,1.3,0.7,,,,,,,,
,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,
Employed persons,RSE(%),3.3,5,3.3,6.8,4.4,4.3,1.9,,,,,,,,
Dependent children,RSE(%),5.9,6.7,7.4,9.7,9.2,6,3.1,,,,,,,,
Persons,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),6.2,7.2,7.6,10,9.3,5.9,3.3,,,,,,,,
18 to 64 years,RSE(%),2.8,4.5,2.7,4.8,3.7,3.2,1.6,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,
65 to 74 years,RSE(%),5.9,8.9,5.8,7.8,9.3,7,3.2,,,,,,,,
75 years and over,RSE(%),5.2,8.4,7.7,11.2,13.3,7.5,3.5,,,,,,,,
Total 65 years and over,RSE(%),4.4,6.5,5.2,7.4,7.7,4.8,2.5,,,,,,,,
Total ,RSE(%),1.9,2.8,1.9,3.1,2.8,1.7,0.9,,,,,,,,
,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,
Households,RSE(%),3,5.5,3.1,6.1,5.5,5.3,1.5,,,,,,,,
Persons,RSE(%),4.1,7,3.7,7.2,6.2,6,2,,,,,,,,
,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,
(a) Includes NT households. NT estimates are not shown separately since estimates for the NT other than Darwin are not considered reliable. Does not include ACT. See Methodology for more information,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,
