            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.1  INCOME DISTRIBUTION, Net worth quintiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.1  INCOME DISTRIBUTION, Net worth quintiles – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,3.3,2.1,2.3,2.7,2.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),3.8,4,3.6,3.3,7.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,2.3,1.8,1.9,2.5,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,2,1.5,1.5,2,2.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,1.8,1.5,1.6,1.7,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private income,4.8,2.7,4.2,3,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances (a),19.2,np,np,np,np,np,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross income,2,2.3,2.7,2.4,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposable income,2.2,1.8,1.9,2.2,2.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable income,2.2,2.1,2.5,2.3,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputed rent (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net benefit from home ownership or occupancy (c) ,7.4,12.4,3.3,2,3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market rent (d),3.2,2.6,1.2,0.9,2.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing costs (e),1.7,1.4,1.7,2.1,3.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equivalised disposable household income at top of selected percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   10th (P10),2.4,2.8,2,2.3,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   20th (P20),1.8,2.8,2.2,2.2,3.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   30th (P30),2,2,2.2,1.9,3.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   40th (P40),2.6,2.3,2.3,1.3,1.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   50th (P50),2.2,2.1,2.5,2.3,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   60th (P60),2.1,2.2,2,1.9,2.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   70th (P70),2.1,1.9,1.8,1.9,2.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   80th (P80),2.6,2.1,1.6,1.4,2.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   90th (P90),2.4,2.7,2,2.5,2.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes overseas pensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes all tenure types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(c) Also referred to as net imputed rent. For all tenure types other than market renters, net benefit from home ownership or occupancy (net imputed rent) equates to market rent (gross imputed rent) less housing costs. For consistency across all housing tenures, the reported values of any rental refunds or subsidies received by market renters have been included in the estimates of net imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d) The estimated rent a dwelling would attract if it were commercially rented. This amount is nil for market renters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(e) For market renters, housing costs include weekly rent payments less any refunds or subsidies received. For all other tenure types, housing costs include reported rent paid and/or other housing costs incurred, such as general and water rates, mortgage interest, house insurance, body corporate fees, repairs and maintenance. See Methodology for further information on imputed rent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
