            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.6  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Net worth quintiles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,1537,2046,2027,2420,3381,2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,1319,1914,1945,2787,4095,2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,1215,1751,1802,2257,3668,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,1433,1942,2212,2749,4378,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,1047,1482,1566,2043,3093,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (b),1781,2337,2730,3027,4705,2711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,1510,2468,3042,2918,3837,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1414,2004,2009,2467,3721,2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,978,1106,1158,1273,1668,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,703,871,904,1025,1679,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,540,546,545,611,585,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,645,658,889,974,1559,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),797,997,1012,1145,1586,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,1034,1162,1226,1338,1760,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,805,886,884,970,1458,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,478,560,614,378,519,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,503,543,560,659,1106,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,797,997,1012,1145,1586,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,912,1133,1109,311,418,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,922,1197,1293,1524,1801,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,758,1023,1124,1344,1646,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,660,882,1067,1218,1691,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,644,891,934,1107,1665,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,601,654,677,793,1359,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,575,580,629,731,1178,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,588,616,654,769,1299,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,797,997,1012,1145,1586,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and Territories (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,809,1037,1017,1087,1565,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,842,1025,991,1105,1486,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,747,951,1009,1222,1787,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,740,929,951,1091,1577,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,822,975,1060,1252,1813,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,652,841,925,1068,1474,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (b),847,1047,1156,1355,1791,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,888,1296,1450,1361,1717,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,797,997,1012,1145,1586,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Estimates based on Australian quintile boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.6  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Net worth quintiles – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEHOLD NET WORTH QUINTILES,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lowest,Second,Third,Fourth,Highest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY GROSS HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,np,40.9,np,np,28.2,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,2.3,1.9,2,2,3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,17.1,7.8,8.4,13.4,17.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,3.2,3.6,2.3,3.4,7.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,10.6,25.5,20.8,18.7,6.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.3,1.8,1.9,2.5,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,2.4,2,2.1,2.8,3.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,3.3,2.8,3.1,4.1,5.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,8.3,15.3,30.3,25.5,24.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,2.7,4.2,2.4,2.5,4.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.3,1.8,1.9,2.5,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,6.4,9.6,25.3,40.2,np,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,3.4,2.8,3.6,17.2,13.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,3.9,2.7,4,4.8,6.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,5.7,3.6,3.6,3.6,4.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,8,7.7,4.1,4.2,5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,5.4,6.1,5.5,4.9,4.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,4.3,4.1,3.7,5.4,6.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,4.2,3.9,3.5,3.6,3.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.3,1.8,1.9,2.5,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and Territories (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,4,4.2,3.3,3.7,4.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,4.4,3.5,5.7,4,5.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,3.7,3.7,4.6,4.8,8.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,5.3,3.5,3.7,5.6,6.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,7.8,4.3,5.1,14.1,7.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,4.9,4.2,5.7,7,9.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (b),7.9,5.6,9.4,6.6,10.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,8,7.1,7.2,5.7,4.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.3,1.8,1.9,2.5,2.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,1.8,1.7,1.7,1.7,2.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,11.4,5.8,6.7,10.7,16.1,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,2.1,3,2.4,2.9,6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,11.7,17.2,12.4,9.2,5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),1.8,1.5,1.6,1.7,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,2.7,1.8,1.7,2.1,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,2.6,2.6,3.6,3.2,5.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,6.2,12.8,13.1,19.9,21.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,2.7,3.9,2.4,2.4,4.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.8,1.5,1.6,1.7,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15–24,5.5,6.1,19.7,np,np,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25–34,2.8,2.3,3.9,11.2,11,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35–44,3,2.6,3.5,3.9,5.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45–54,4.6,3.5,2.9,2.5,4.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55–64,5.2,5.6,4.3,3.4,4.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74,3.1,3.6,3.4,3.1,3.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 and over,2.5,3.2,2.5,2.9,5.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,2.5,2.4,2,2.3,3.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.8,1.5,1.6,1.7,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States and Territories (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,3.1,3.5,2.2,2.4,3.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,3.7,3.4,4.5,2.8,4.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,3.1,3.3,3.9,3.3,5.8,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,3.5,2.8,2.8,5.2,5.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,4.2,4.1,4.3,8,6.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,4,3.9,4.1,4.3,7.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory (b),6.7,4.4,8.5,6,7.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,6.2,5.6,6.3,3.6,4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.8,1.5,1.6,1.7,2.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Estimates based on Australian quintile boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(b) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
