             Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 10.3  HOUSEHOLD CHARACTERISTICS, Age of reference person",,,,,,,,,,,,,,,,,,,,,
,,,,,,,65 YEARS AND OVER,,,All households,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),8,2.9,2.5,2.5,2.1,3.5,2.8,2.4,1,,,,,,,,,,,
1% to less than 20%,MOE(±),4.5,1.9,2.2,2.2,2.1,1.5,1,1,0.7,,,,,,,,,,,
20% to less than 50%,MOE(±),3.8,1.6,1.7,1.3,1.3,2.4,2.1,1.7,0.7,,,,,,,,,,,
50% to less than 90%,MOE(±),2.8,0.9,1.3,1.2,1,2,2.4,1.5,0.6,,,,,,,,,,,
90% and over,MOE(±),3.4,1.4,1.1,1.1,1.4,2.1,3.5,1.8,0.6,,,,,,,,,,,
Total(a),MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),1.3,1.1,1.1,1.7,2.4,1.7,2.8,1.4,0.8,,,,,,,,,,,
Owner with a mortgage,MOE(±),4,2.9,2.6,2.8,2.5,1.8,1,1.1,0.9,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),np,0.5,0.6,0.7,0.8,0.8,1,0.7,0.3,,,,,,,,,,,
Private landlord,MOE(±),5.7,3.6,2.7,2.1,2.1,1.5,1.6,1.1,1,,,,,,,,,,,
Other landlord type,MOE(±),1.9,1.3,0.9,0.8,0.5,0.9,1.1,0.8,0.4,,,,,,,,,,,
Total renters,MOE(±),5.1,3.4,2.7,2.2,2.4,1.9,2.3,1.5,1,,,,,,,,,,,
Other tenure type,MOE(±),3.1,1.1,0.9,0.7,0.7,0.8,1.4,0.8,0.4,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Family composition of household,,,,,,,,,,,,,,,,,,,,,
One family households,,,,,,,,,,,,,,,,,,,,,
Couple family with dependent children,MOE(±),2.8,2.2,1.9,2.6,1.9,0.9,0.7,0.6,0.6,,,,,,,,,,,
One parent family with dependent children,MOE(±),3.5,1.2,1.7,1.7,1,np,np,0.4,0.4,,,,,,,,,,,
Couple only,MOE(±),6,2.5,1.6,1.5,1.5,1.8,2.5,1.4,0.5,,,,,,,,,,,
Other one family households,MOE(±),6.1,1.5,0.9,1.5,2.6,2,1.5,1.4,0.6,,,,,,,,,,,
Multiple family households,MOE(±),np,0.7,1.4,0.9,1.2,1.2,np,0.8,0.4,,,,,,,,,,,
Non-family households,,,,,,,,,,,,,,,,,,,,,
Lone person,MOE(±),7,2.3,1.4,1.6,2.1,2.6,2.8,1.6,0,,,,,,,,,,,
Group households,MOE(±),5.5,1.6,0.9,0.6,0.6,0.6,0.5,0.4,0.4,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,
Employed persons,RSE(%),6.9,1.4,1.5,1.5,1.8,6.5,12.5,5.7,0.3,,,,,,,,,,,
Dependent children,RSE(%),21.2,4,1.9,3.2,7.3,23,30.3,18.3,0.5,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),20.5,4.1,1.9,3.5,11.2,24.7,31.7,19.3,0.4,,,,,,,,,,,
18–64 years,RSE(%),3.3,1.2,1.1,1.3,1.5,6.7,13.4,6.1,0.2,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,
65–74 years,RSE(%),np,np,25.3,18.4,6.2,1,7.9,0.8,0.2,,,,,,,,,,,
75 years and over,RSE(%),np,np,39.7,21.5,15.3,9.3,1,1,0.1,,,,,,,,,,,
Total 65 years and over,RSE(%),np,49.7,20.5,14.7,5.6,1,0.9,0.6,0.1,,,,,,,,,,,
Total ,RSE(%),3.3,1.4,1.1,1.3,1.5,1.7,1.8,1.2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,
Households,RSE(%),5.5,1.6,1.1,1.1,1.4,1.5,1.3,0.8,0,,,,,,,,,,,
Persons,RSE(%),5.5,1.9,1.4,1.7,2.2,2.1,1.9,1.4,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,
(a) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,
