Other income,%,3.2,2.7,7.2,3.5,3.5,3.4,3,2.8,13.9,39.2,20,,4.2,7.4,4.7,,12.4,9.1,18.1,25.2,18,10,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,%,61.5,76.1,84.2,92.3,73.1,21.6,85.7,79.4,52.7,9.6,46.4,,76.8,60.5,80.5,,0,0,0,0,0,65.4,43,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,%,34.2,20.2,11.4,6.8,22.9,50.6,11.8,17.8,30.1,14.6,17.9,,14.6,23.8,14.3,,85.4,77.7,55.3,10.2,45.4,17.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,%,1.1,1.2,0.6,1.9,1.3,7,0.5,0.5,1.2,0.6,0.8,,1.5,4.1,1.6,,2.8,5.3,4.8,0.3,2.6,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,%,3.1,2.4,4.9,0,2.8,21,1.4,2.3,15.7,75.9,35,,8.6,11.7,3.2,,11.1,17.1,39.9,89.2,52,16.9,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,%,58.4,68.6,78.4,65.2,63.1,24.1,95.2,90.6,81.8,36.1,67.1,,67.6,56.9,38,,91.4,78.4,63.1,21.2,52.6,63,58,,,,,,,,,,,,,,,,,,,,,,,,,,
1% to less than 20%,%,22.8,21.4,13.1,23.6,22,23.1,3.4,3.4,4.4,5.5,4.4,,10.2,13.6,27.6,,1.4,1.3,3.1,3.2,2.6,12.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
20% to less than 50%,%,12.4,5.4,4.3,8.9,8.4,16.5,1.1,3.2,3.6,10.3,5.7,,8.5,12.5,24.8,,1.8,1.6,2.8,7.3,4.3,14.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
50% to less than 90%,%,2.5,1.7,1.6,3.6,2.5,15.8,0.7,1.5,2.1,18.3,8.2,,8.1,6.4,3.3,,0.9,4.3,5.3,16,8.9,4.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
90% and over,%,4.4,2.8,3.8,2.8,3.7,20.3,0.2,1.7,6.4,30,13.8,,1.5,9.8,4.5,,3,13.2,23.6,51.6,30.3,5.2,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),%,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,%,5.1,9,23.5,20.7,10.6,8.7,2.5,12.6,40.8,79.4,43.6,,16.6,35.4,24.8,,2.1,11.6,34.9,69,39.6,11,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner with a mortgage,%,60.7,65.3,68.5,62.8,63,29.3,34.9,49,45.2,9.9,29.5,,32.6,36.7,52.2,,25.3,35.6,27.9,5.6,19.6,16.1,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,%,0.5,0.9,1.4,1.6,1,6.6,0,0.7,1.4,1.6,0.9,,1.1,2.7,0,,1.2,7.2,10.1,6.2,6.4,1.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Private landlord,%,28.9,20.8,7.4,13.4,21.8,47.3,57.5,33.4,9.9,4.9,21.7,,50,22.5,21.2,,61.9,41.5,23,10.9,27.5,68.1,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Other landlord type,%,2.7,1.6,0.4,0,1.8,4.5,2.6,2.8,0.6,0.8,1.6,,0,1,0,,4.6,2.9,2.2,5.1,4.1,1.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Total renters,%,32,23.3,9.9,17.2,24.5,58.5,60,36.9,11.6,7.4,24.3,,49.4,26.3,22.6,,67.1,50.8,35.5,22.3,38,72.2,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Other tenure type,%,2,2.1,0.4,1.6,1.9,3,2.5,1.8,1.9,3.5,2.7,,0,1.6,1.1,,5,1.7,1.9,3,2.8,1.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,%,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,years,36,43,53,50,43,43,29,45,60,73,56,,59,55,52,,28,45,60,76,59,37,52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employed persons,no.,1.6,1.8,2.5,3.1,2,1,1.8,1.8,1.4,0.3,1.1,,2.2,1.9,2.6,,0.9,0.8,0.6,0.1,0.5,1.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dependent children,no.,1.9,2.1,1.6,1.4,1.9,1.8,0,0,0,0,0,,0,0,1.2,,0,0,0,0,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 18 years,no.,1.9,2,0.6,1,1.7,1.6,0,0,0,0,0,,0,0,1.1,,0,0,0,0,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18–64 years,no.,2,2.1,2.8,3.6,2.4,1.4,2,2,1.8,0.2,1.2,,2.9,2.5,3.5,,1,1,1,0,0.6,2.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74 years,no.,0,0,0,0,0,0,0,0,0.2,1.1,0.5,,0.4,0.3,0.5,,0,0,0,0.5,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
75 years and over,no.,0,0,0,0,0,0,0,0,0,0.7,0.3,,0.1,0.2,0.2,,0,0,0,0.5,0.2,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,no.,0,0,0.1,0,0,0,0,0,0.2,1.8,0.8,,0.5,0.4,0.7,,0,0,0,1,0.4,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,no.,3.9,4.1,3.6,4.6,4.1,3.1,2,2,2,2,2,,3.3,3,5.3,,1,1,1,1,1,2.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households,'000,937.5,932,275.3,289.3,2573.7,590.6,527.2,448.2,538.7,1044.5,2563.3,,485.7,1048.6,225.5,,364.9,565.8,454.5,1071.1,2456.2,276.7,9732.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,'000,3676.2,3837.7,982.9,1348.5,10533.3,1805.8,1058.3,897.7,1078.4,2092.5,5123.4,,1627.4,3130.2,1197.2,,361.6,567.6,453.9,1070,2455.6,667.4,24909.3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of households in sample,no.,1340,1444,394,315,3636,957,672,685,1006,1826,4189,,619,1388,195,,543,951,854,1950,4298,348,15011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Proportion has a high margin of error and should be used with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.3  HOUSEHOLD CHARACTERISTICS, Household composition – Margin of error of proportion (±) and Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FAMILY HOUSEHOLDS,,,,,,,,,,,,,,,,NON-FAMILY HOUSEHOLDS,,,,,,All households,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Couple family with dependent children,,,,,One parent family with dependent children,Couple only,,,,,,Other one family households,,Multiple family households,,Lone person,,,,,Group households,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dependent children only, youngest child aged under 5","Dependent children only, youngest child aged 5–14","Dependent children only, youngest child aged 15 and above",Dependent and non-dependent children only,Total(a),,Reference person aged under 35,Reference person aged 35–54,Reference person aged 55–64,Reference person aged 65 and over,Total,,Couple family with non-dependent children only,Total(b),,,"Aged 
under 35","Aged 
35–54","Aged 
55–64","Aged 65 
and over",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95% MARGIN OF ERROR OF PROPORTION (±),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households with characteristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,MOE(±),np,np,np,0,0.3,np,np,1,1.3,np,0.4,,0,np,0,,np,1.1,1.3,0.4,0.5,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee income,MOE(±),2.5,2.1,5.5,5.4,1.5,4.5,2.3,4.2,3.2,1.8,1.4,,10.5,3.5,5.6,,6,3.8,4.4,1.2,1.8,7.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Own unincorporated business income,MOE(±),1.2,1.3,1.8,3.1,0.7,1.2,2.2,2,2.2,0.9,0.8,,np,1.5,np,,1.7,1.8,1.6,0.6,0.6,2.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Government pensions and allowances,MOE(±),1.9,1.5,4.1,3.4,1.2,4.5,np,1.6,2.3,3.2,1.6,,7.9,2.5,5.2,,1.8,3.2,3.7,3.2,2.1,4.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income,MOE(±),1.5,1.3,3.8,3,0.8,1.6,1.6,1.8,2.4,2.8,1.4,,np,1.7,4.4,,4.4,2.4,3.7,2.7,1.5,3.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,MOE(±),4.2,3,5.6,4.2,2.1,3.9,3.7,5.1,4.6,1.9,1.5,,9.9,3.6,5.8,,0,0,0,0,0,8.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1 employed person,MOE(±),4.2,3.2,4.2,3.9,1.9,4.2,3.3,3.6,4,2.4,1.4,,7.8,3.4,7.3,,4.4,3.2,5,2,1.9,4.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,MOE(±),0.8,0.7,np,1.7,0.6,2.2,np,np,np,0.5,0.4,,np,1.2,np,,2,1.9,2.2,np,0.7,np,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
No persons in the labour force,MOE(±),1.6,1.1,3,0,0.7,4.5,np,1.7,2.6,2.4,1.4,,5.1,2,np,,3.8,2.8,3.8,2.1,2,5.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contribution of government pensions and allowances to gross household income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil or less than 1%,MOE(±),3.5,3.4,7.4,8.2,1.7,4.1,2.4,3,3.4,3.4,1.6,,10.9,3.5,8.6,,5.2,3.5,4.5,2.3,2.1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1% to less than 20%,MOE(±),3.9,3.2,5.1,6,2.2,4.5,2.1,2,1.4,1.5,0.8,,6.6,2.8,8.1,,np,1.1,2.6,1,0.7,5.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
20% to less than 50%,MOE(±),2.4,2.1,3,5.8,1.6,3.7,np,2.1,1.6,2.2,0.9,,5.9,2.2,8.7,,1.3,1.1,1.4,1.7,0.8,5.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
50% to less than 90%,MOE(±),1.2,1.1,np,2.5,0.9,4.1,0.6,1.1,1.3,2.4,1,,7.5,1.7,np,,np,1.9,1.9,2.1,1.2,2.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
90% and over,MOE(±),1.8,1.3,3.4,2.3,0.9,4.6,np,1.2,1.9,2.6,1.2,,np,1.7,3.1,,1.5,2.7,3.3,3,1.8,3.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Total(c),MOE(±),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenure and landlord type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner without a mortgage,MOE(±),1.8,2.1,6.2,5.9,1.5,2.7,1.5,3.2,4.5,2,1.5,,7.3,3.3,7.4,,1.7,2.7,3.8,3.2,2.1,4.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner with a mortgage,MOE(±),3.6,3.5,7.3,6.6,1.9,5.1,3.8,5.2,4.5,1.7,1.7,,8.2,3.2,8.8,,4.1,4,4.3,1.3,1.5,6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Renter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/territory housing authority,MOE(±),0.4,0.6,np,np,0.5,2.1,0,0.6,0.8,0.8,0.4,,np,0.9,0,,0.9,1.9,2.1,1.4,0.9,np,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Private landlord,MOE(±),3.6,3.1,3.9,5.3,1.8,4.3,6,5.2,2.5,1.4,1.7,,10.6,3.6,9.1,,4.2,4.5,3.7,1.7,1.7,6.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Other landlord type,MOE(±),1.7,1,np,0,0.8,1.7,1.7,1.5,np,0.6,0.5,,0,0.7,0,,2.8,1.3,1.3,1.6,1,np,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Total renters,MOE(±),3.7,3,4.4,5.6,1.8,4.1,6,5.1,3,1.6,1.8,,10.7,3.7,9.1,,5.5,4.6,4,3.1,2.2,5.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Other tenure type,MOE(±),0.9,1.1,np,np,0.6,2.3,1.6,1.4,1.1,1.4,0.7,,0,1,np,,2.7,1.5,1.2,1.1,0.8,np,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,MOE(±),0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average age of reference person in years,RSE(%),0.6,0.5,0.8,1.3,0.4,1.3,0.6,0.7,0.2,0.2,0.5,,0.8,0.9,3.2,,1.1,0.5,0.3,0.3,0.6,2.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average number in household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employed persons,RSE(%),1.6,1.4,3.7,3,0.9,4,1.3,1.5,2.4,6,1.2,,3.2,2.3,4.2,,2.5,2.1,3.8,9.7,2.1,5.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Dependent children,RSE(%),1.4,1.6,3.8,3.2,0.7,3,0,0,0,0,0,,0,0,9.5,,0,0,0,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 18 years,RSE(%),1.3,1.5,8.6,7.7,1,3.6,0,0,0,0,0,,32.7,20,10.5,,0,0,0,0,0,np,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
18–64 years,RSE(%),0.2,0.6,2.3,1.6,0.7,2.1,0,0.4,0.7,6.1,1,,2.2,1.7,3.7,,0.1,0,0.1,0,1.6,3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
65 years and over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65–74 years,RSE(%),np,40.1,39.3,41,15.6,31.4,0,44.3,7.7,1.7,2,,10.9,7,15.2,,0,0,0,3,3.9,20.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
75 years and over,RSE(%),0,0,np,0,26.4,41.2,0,np,33.1,2.7,3.2,,25.8,10.1,26.9,,0,0,0,2.7,3.1,41.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Total 65 years and over,RSE(%),np,40.1,34.8,41,13.9,23.1,0,48.4,7.5,0.5,1.5,,10,5.9,12.3,,0,0,0,0,2.1,17.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,RSE(%),0.7,0.8,1.7,1.2,0.4,1.9,0,0.1,0.1,0,0,,1,1,2.4,,0.1,0,0.1,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated number in population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households,RSE(%),2,2.4,6,6.7,1.1,3,4.4,4.4,2.8,1.9,0.9,,4.4,2.7,8.2,,5.5,3.4,4.2,2.1,0.1,6.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,RSE(%),2.2,2.7,6.1,6.7,1.3,3.5,4.4,4.4,2.8,1.9,0.9,,4.7,2.8,8.3,,5.5,3.4,4.2,2.1,0.1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Includes other couple households with dependent children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Includes other couple family with no dependent children and other one family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
