            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 8.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Tenure and landlord type",,,,,,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,,,,,
25–34,2275,2932,913,2223,1963,2183,1874,2465,,,,,,,,,,,,,
35–44,3069,3261,978,2350,2626,2314,2129,2837,,,,,,,,,,,,,
45–54,2927,3607,679,2048,2048,1906,2191,3033,,,,,,,,,,,,,
55–64,2499,3078,715,1763,924,1502,1689,2538,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,
65–74,1418,2278,652,1128,726,949,986,1450,,,,,,,,,,,,,
75 and over,1064,1714,634,760,666,705,1087,1045,,,,,,,,,,,,,
Total 65 years and over,1255,2178,639,1013,697,858,1026,1273,,,,,,,,,,,,,
Total,1764,3188,768,2052,1661,1908,1675,2329,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,
New South Wales,1863,3383,766,2139,1760,2000,1829,2422,,,,,,,,,,,,,
Victoria,1648,3226,731,2208,1087,2062,1382,2359,,,,,,,,,,,,,
Queensland,1865,3091,730,1798,1659,1701,1429,2241,,,,,,,,,,,,,
South Australia,1465,2734,742,1743,1289,1530,1778,1989,,,,,,,,,,,,,
Western Australia,1842,3158,759,1988,1720,1831,1637,2427,,,,,,,,,,,,,
Tasmania,1408,2377,851,1423,1006,1310,1715,1736,,,,,,,,,,,,,
Northern Territory (a),2701,3440,817,2309,1519,2026,2415,2711,,,,,,,,,,,,,
Australian Capital Territory,2671,3463,824,2708,2526,2306,3022,2878,,,,,,,,,,,,,
Total,1764,3188,768,2052,1661,1908,1675,2329,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME ($),,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Employee income,1256,1318,766,1140,1264,1142,1114,1254,,,,,,,,,,,,,
Own unincorporated business income,1088,1307,602,822,299,799,678,1149,,,,,,,,,,,,,
Government pensions and allowances,568,575,515,553,541,542,516,557,,,,,,,,,,,,,
Other income,1204,1619,1196,926,674,917,882,1231,,,,,,,,,,,,,
Total(b),1025,1285,550,1011,986,977,915,1124,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,1387,1407,698,1214,1464,1220,1208,1352,,,,,,,,,,,,,
1 employed person,1043,1013,683,915,891,902,797,974,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,513,485,404,523,422,505,838,506,,,,,,,,,,,,,
No persons in the labour force,747,706,494,527,527,518,617,673,,,,,,,,,,,,,
Total,1025,1285,550,1011,986,977,915,1124,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,
15–24,450,1081,878,935,852,933,923,944,,,,,,,,,,,,,
25–34,1086,1304,505,1102,1026,1083,918,1165,,,,,,,,,,,,,
35–44,1221,1225,514,1015,1118,1000,908,1133,,,,,,,,,,,,,
45–54,1174,1312,500,968,1163,944,1146,1212,,,,,,,,,,,,,
55–64,1255,1342,609,999,693,913,919,1243,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,
65–74,922,1189,521,766,612,695,781,932,,,,,,,,,,,,,
75 and over,782,1108,537,623,602,596,786,775,,,,,,,,,,,,,
Total 65 years and over,861,1174,528,726,610,660,772,870,,,,,,,,,,,,,
Total,1025,1285,550,1011,986,977,915,1124,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,
New South Wales,1082,1300,541,1037,1018,1007,971,1150,,,,,,,,,,,,,
Victoria,960,1289,564,1087,759,1048,800,1129,,,,,,,,,,,,,
Queensland,1054,1261,517,915,1048,897,826,1087,,,,,,,,,,,,,
South Australia,917,1170,563,938,917,886,1097,1038,,,,,,,,,,,,,
Western Australia,1004,1321,559,987,1037,958,939,1146,,,,,,,,,,,,,
Tasmania,946,1135,589,805,609,757,880,961,,,,,,,,,,,,,
Northern Territory (a),1285,1354,515,1045,808,946,1031,1185,,,,,,,,,,,,,
Australian Capital Territory,1441,1524,644,1278,1109,1158,1402,1406,,,,,,,,,,,,,
Total,1025,1285,550,1011,986,977,915,1124,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
*  estimate has a relative standard error of 25% to 50% and should be used with caution,,,,,,,,,,,,,,,,,,,,,
**  estimate has a relative standard error greater than 50% and is considered too unreliable for general use,,,,,,,,,,,,,,,,,,,,,
"Cells in this table containing 2019–20 data have been randomly adjusted (by perturbation) to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals. Differences may occur between tables only where estimates are produced for different units (e.g. person, household or expenditure units). See Methodology for more information",,,,,,,,,,,,,,,,,,,,,
"(a) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,
"Household Income and Wealth, Australia: Summary of Results, 2019–20 ",,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (CANBERRA TIME) 28 April 2022,,,,,,,,,,,,,,,,,,,,,
"Table 8.4  GROSS AND EQUIVALISED DISPOSABLE HOUSEHOLD INCOME, Tenure and landlord type – Relative standard errors (RSE)",,,,,,,,,,,,,,,,,,,,,
,Owner without a mortgage,Owner with a mortgage,RENTER,,,,Other tenure type,All households,,,,,,,,,,,,,
,,,"State/territory housing 
authority ",Private landlord,Other landlord type,Total renters,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY GROSS HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Zero or negative income,28.8,np,0,41.5,0,41.4,0,35.2,,,,,,,,,,,,,
Employee income,3.7,1.5,8.8,1.7,11.4,1.8,5.7,1.1,,,,,,,,,,,,,
Own unincorporated business income,16.1,12.5,37.4,10.4,0,10.1,39,9,,,,,,,,,,,,,
Government pensions and allowances,1.6,5.1,4.4,3.6,6.3,2.7,7.6,1.5,,,,,,,,,,,,,
Other income,6.2,14.8,23.3,15.3,41.4,14.8,22.6,4.9,,,,,,,,,,,,,
Total,2.7,1.6,3.8,1.5,12.8,1.6,6.2,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,5,1.8,8.7,2,14.7,1.9,6.1,1.3,,,,,,,,,,,,,
1 employed person,4.7,3.6,11,2.8,10.3,2.7,13.1,1.8,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,15.5,34.9,12,7.8,20.4,7,np,6.4,,,,,,,,,,,,,
No persons in the labour force,2.7,10.5,2.8,4.2,7.8,2.8,8.8,2.1,,,,,,,,,,,,,
Total,2.7,1.6,3.8,1.5,12.8,1.6,6.2,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,
15–24,38,8.4,34.2,6,21.2,5.8,np,5.3,,,,,,,,,,,,,
25–34,20.2,4.8,9.2,2.6,15.4,2.7,12,2.7,,,,,,,,,,,,,
35–44,10.1,3.3,10.7,3.3,13.5,3.3,11.7,2.3,,,,,,,,,,,,,
45–54,8.1,2.7,9.2,4.5,42.4,4.9,26,2.4,,,,,,,,,,,,,
55–64,5.3,4.2,10.6,5.9,26.5,5.3,15.4,3.2,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,
65–74,3.4,7,5.4,8.9,8.7,7.1,13.9,2.9,,,,,,,,,,,,,
75 and over,3.7,19.4,6.2,6.3,9.9,4.5,9.6,3.2,,,,,,,,,,,,,
Total 65 years and over,2.7,6.6,4.2,7.2,6.5,5.3,8.6,2.3,,,,,,,,,,,,,
Total,2.7,1.6,3.8,1.5,12.8,1.6,6.2,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,
New South Wales,5,2.6,9.1,2.9,20.1,3,10.4,1.7,,,,,,,,,,,,,
Victoria,4.9,3.3,14.8,3.3,17.1,3.2,17.8,2,,,,,,,,,,,,,
Queensland,6.8,3.1,11.3,4.2,45,4.9,20,2.4,,,,,,,,,,,,,
South Australia,7.5,3.2,6.4,4.4,32.3,4.1,20,2.5,,,,,,,,,,,,,
Western Australia,7.2,6.9,11.6,7.5,15.2,6.8,11.4,3.9,,,,,,,,,,,,,
Tasmania,8.5,4.9,21.4,5.3,20,4,16.8,3.1,,,,,,,,,,,,,
Northern Territory (a),11.8,5.1,21.2,5.5,19.4,5,22,3.5,,,,,,,,,,,,,
Australian Capital Territory,7.4,3.7,12.8,7.3,26,7,26.9,2.6,,,,,,,,,,,,,
Total,2.7,1.6,3.8,1.5,12.8,1.6,6.2,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
RELATIVE STANDARD ERROR OF MEAN WEEKLY EQUIVALISED DISPOSABLE HOUSEHOLD INCOME (%),,,,,,,,,,,,,,,,,,,,,
Main source of household income,,,,,,,,,,,,,,,,,,,,,
Employee income,3.1,1.5,6.8,1.5,7.9,1.5,5,0.9,,,,,,,,,,,,,
Own unincorporated business income,11.6,10.8,15.3,7.3,np,7.1,42.9,7.4,,,,,,,,,,,,,
Government pensions and allowances,1.2,4.9,3.5,2.8,3.9,2,7.7,1.3,,,,,,,,,,,,,
Other income,5,9.9,13.6,11.6,40.6,11.3,13.4,3.7,,,,,,,,,,,,,
Total(b),2.2,1.4,2.9,1.3,8.5,1.3,4.7,0.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force status,,,,,,,,,,,,,,,,,,,,,
2 or more employed persons,3.8,1.5,7.9,1.9,9.9,1.8,4.7,1.1,,,,,,,,,,,,,
1 employed person,4.4,3.6,7.4,2.3,7.8,2.2,9.6,1.7,,,,,,,,,,,,,
No employed person but at least 1 unemployed person,12.6,17.5,11.6,5.8,19.5,5.1,np,4.7,,,,,,,,,,,,,
No persons in the labour force,2.2,9.9,2.9,4.2,4.6,2.7,9,2.1,,,,,,,,,,,,,
Total,2.2,1.4,2.9,1.3,8.5,1.3,4.7,0.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age of household reference person,,,,,,,,,,,,,,,,,,,,,
15–24,np,8.2,20.1,5.3,12.7,5.1,37,4.6,,,,,,,,,,,,,
25–34,14.9,3.8,6.1,2.2,11.3,2.3,11.2,2.2,,,,,,,,,,,,,
35–44,8.5,2.7,8.9,3.1,9.4,3,8.1,1.9,,,,,,,,,,,,,
45–54,7.3,2.4,5.7,4.4,28.8,4.5,14.6,2.1,,,,,,,,,,,,,
55–64,4.2,3.8,5.9,4.9,20.8,4.3,10.1,2.8,,,,,,,,,,,,,
65 and over,,,,,,,,,,,,,,,,,,,,,
65–74,2.8,5.3,2.9,4.7,5.9,3.8,10.8,2.4,,,,,,,,,,,,,
75 and over,2.7,17.3,3.9,3,6.2,2.4,8.6,2.6,,,,,,,,,,,,,
Total 65 years and over,2.1,5.4,2.4,3.7,4.2,2.9,6.5,1.9,,,,,,,,,,,,,
Total,2.2,1.4,2.9,1.3,8.5,1.3,4.7,0.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
States and territories,,,,,,,,,,,,,,,,,,,,,
New South Wales,4.2,2.3,6.5,2.7,11.5,2.5,7.4,1.5,,,,,,,,,,,,,
Victoria,3.9,2.8,10.4,2.5,12.2,2.4,12.5,1.7,,,,,,,,,,,,,
Queensland,5.4,2.8,7,3,26.1,3.6,17.4,1.9,,,,,,,,,,,,,
South Australia,5.9,2.8,3.9,3.5,20.5,3.2,16.1,1.9,,,,,,,,,,,,,
Western Australia,6.2,4.4,9.5,4.9,10.8,4.5,6.5,3,,,,,,,,,,,,,
Tasmania,6,4.2,11.3,4.2,12.6,3.3,13.2,2.8,,,,,,,,,,,,,
Northern Territory (a),9.2,4.8,10.5,4.4,22.3,3.8,16.8,3.1,,,,,,,,,,,,,
Australian Capital Territory,5.5,2.9,9.9,6,21.6,5.9,19.5,2.3,,,,,,,,,,,,,
Total,2.2,1.4,2.9,1.3,8.5,1.3,4.7,0.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
np  not published,,,,,,,,,,,,,,,,,,,,,
"(a) Households in SA1s defined as Very Remote were excluded, accounting for over 21% of the population of NT ",,,,,,,,,,,,,,,,,,,,,
(b) Includes households with nil or negative total income,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,,,,,,,,,,,,
